county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3
RICHMOND,758970,Store,AC,LEGACY AFRICANA MARKET INC,LEGACY AFRICANA MARKET,651,BAY STREET ###,STATEN ISLAND,NY,10304,"{'type': 'Point', 'coordinates': [-74.07527, 40.62608]}",585,2500,,
NEW YORK,758968,Store,A,AB TWINS GROCERY INC,AB TWINS GROCERY,2296,1ST AVE,NEW YORK,NY,10035,"{'type': 'Point', 'coordinates': [-73.9344, 40.79742]}",749,500,,
STEUBEN,758966,Store,ABH,EBERSOL BARBARA & DAVID,SUNNYSIDE BAKERY,7710,ROUSE RD,ADDISON,NY,14801,"{'type': 'Point', 'coordinates': [-77.25021, 42.09556]}",48,1500,,
YATES,758959,Store,ACW,A AND M HILLER LLC,APPLE BARREL ORCHARDS,2673,SAND HILL RD,PENN YAN,NY,14527,"{'type': 'Point', 'coordinates': [-77.08461, 42.66015]}",94,3000,,
ULSTER,758958,Store,AC,CAMP UPSTATE LLC,CAMP KINGSTON,36,ST. JAMES UNIT B  ###,KINGSTON,NY,12401,"{'type': 'Point', 'coordinates': [-74.01261, 41.93156]}",425,3000,,
NASSAU,758957,Store,AC,HAPPY MR FARM INC,HAPPY MR FARM,156,SHORE ROAD,PORT WASHINGTON,NY,11050,"{'type': 'Point', 'coordinates': [-73.70805, 40.84219]}",60,1500,,
KINGS,758953,Store,AC,M&M5 DELI GROCERY INC,M&M5 DELI GROCERY,224,ALBANY AVE,BROOKLYN,NY,11213,"{'type': 'Point', 'coordinates': [-73.93908, 40.67294]}",894,850,,
NEW YORK,758945,Store,AC,LEX GRILL & JUICE BAR CORP,LEX GRILL & JUICE BAR,97,LEXINGTON AVENUE,NEW YORK,NY,10010,"{'type': 'Point', 'coordinates': [-73.98298, 40.74193]}",749,750,,
RICHMOND,758944,Store,AC,PORT MARKET CORP THE,PORT MARKET,210,PORT RICHMOND AVE,STATEN ISLAND,NY,10302,"{'type': 'Point', 'coordinates': [-74.13473, 40.63609]}",585,3000,,
BRONX,758942,Store,AC,BEDFORD DELI 1 INC,BEDFORD DELI,26,BEDFORD PARK BLVD E,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.88854, 40.87257]}",307,1000,,
