county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude
BRONX,718784,Store,AC,NEW ZEREGA BAZAR INC,ZEREGA BAZAR HALAL MEAT AND GROCERY,2409,WESTCHESTER AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.84611, 40.8373]}",307,1200,,,-73.84611,40.8373
BRONX,718765,Store,AC,KINGS BRIDGE MARKET INC,KINGS BRIDGE MARKET,30,W KINGSBRIDGE RD,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89877, 40.86774]}",307,2000,,,-73.89877,40.86774
BRONX,718671,Store,AC,TELLER MART LLC,TELLER MART,920,TELLER AVE,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.91552, 40.82616]}",307,2000,,,-73.91552,40.82616
BRONX,718670,Store,AC,MI GENTE DELI GROCERY CORP,MI GENTE DELI GROCERY,1071,ELDER  AVENUE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.87851, 40.82574]}",307,,,,-73.87851,40.82574
BRONX,718578,Store,AC,EXPRESS MINI MARKET CORP,EXPRESS MINI MARKET,980,MORRIS  AVENUE,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.91684, 40.82852]}",307,,,,-73.91684,40.82852
BRONX,718570,Store,AC,ULERIO DELI & GROCERY CORP.,ULERIO DELI & GROCERY,1001,MACE AVENUE,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.85862, 40.86305]}",307,950,,,-73.85862,40.86305
BRONX,718539,Store,AC,FRANCO FRUIT&VEGETABLE INC,FRANCO FRUIT& VEGETABLE,121,EAST BURNSIDE AVE,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.90491, 40.85288]}",307,2400,,,-73.90491,40.85288
BRONX,718489,Store,AC,PIERCE AVE MINI MARKET INC,PIERCE AVE MINI MARKET,1595,WILLIAMSBRIDGE RD,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.84896, 40.84695]}",307,1200,,,-73.84896,40.84695
BRONX,718452,Store,AC,LA REYNA DE WESTCHESTER DELI GROCERY COR,LA REYNA DE WESTCHESTER DELI GROCERY,1218,WESTCHESTER AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88915, 40.8261]}",307,,,,-73.88915,40.8261
BRONX,718374,Store,AC,ADEN 1 DELI GROCERY CORP,ADEN 1 DELI GROCERY,3060,EASTCHESTER RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.84351, 40.8711]}",307,,,,-73.84351,40.8711
BRONX,718309,Store,AC,EDWARD FOOD INC,FINE FARE,4725,WHITE PLAINS RD,BRONX,NY,10470,"{'type': 'Point', 'coordinates': [-73.84987, 40.90406]}",307,4500,,,-73.84987,40.90406
BRONX,718305,Store,AC,DON JOSE MEXICANS GROCERY INC,DON JOSE MEXICANS GROCERY,216,ST ANNS AVE,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.91774, 40.80644]}",307,900,,,-73.91774,40.80644
BRONX,718289,Store,AC,BODEGA BUILT INC,BODEGA BUILT,601,E 180TH ST ##,BRONX,NY,10457,"{'type': 'Point', 'coordinates': [-73.89143, 40.84942]}",307,1000,,,-73.89143,40.84942
BRONX,718260,Store,AC,17UP FOOD PRODUCT CORP,17UP FOOD,1378,WALTON AVE,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.91623, 40.8392]}",307,600,,,-73.91623,40.8392
BRONX,718228,Store,AC,LOTUS THIRD GAS CORP,LOTUS THIRD GAS,4643,THIRD AVE #####,BRONX,NY,10458,,,600,,,,
BRONX,718204,Store,AC,MOS DISA CORP,EDIBLE ARRANGEMENTS,3530,JOHNSON AVE,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.90979, 40.88623]}",307,,,,-73.90979,40.88623
BRONX,718180,Store,AC,AG 49 CORP,FINE FARE,49,EAST MT EDEN AVE,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.91369, 40.84392]}",307,4000,,,-73.91369,40.84392
BRONX,718163,Store,AC,4345 KATONAH ENTERPRISES INC,4345 KATONAH ENTERPRISES,4345A,KATONAH AVE,BRONX,NY,10470,"{'type': 'Point', 'coordinates': [-73.86767, 40.90014]}",307,1000,,,-73.86767,40.90014
BRONX,718115,Store,AC,HELLEN DELI GROCERY CORP,HELLEN DELI GROCERY,1420,CLAY AVE,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.90784, 40.83726]}",307,800,,,-73.90784,40.83726
BRONX,718022,Store,A,AGYEMAN NANA A,OBAAPA AFRICAN & CARIBEAN MARKET,2347,GRAND CONCOURSE,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89928, 40.8589]}",307,450,,,-73.89928,40.8589
BRONX,718013,Store,AC,EL TROPICAL DELI GROCERY CORP,EL TROPICAL DELI GROCERY,3100,E TREMONT AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83571, 40.83871]}",307,1100,,,-73.83571,40.83871
BRONX,717951,Store,AC,EDDIES PLACE AFRICAN MARKET INC,EDDIES PLACE AFRICAN MARKET,5,E 167TH ST,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.92192, 40.83597]}",307,2000,,,-73.92192,40.83597
BRONX,717779,Store,AC,FAD 2300 FOOD CORP,GOLDEN MANGO,2300,RANDALL AVE,BRONX,NY,10473,"{'type': 'Point', 'coordinates': [-73.84437, 40.81951]}",307,40000,,,-73.84437,40.81951
BRONX,717755,Store,AC,NEW MODERN INC,MODERN MARKET,2385,ARTHUR AVE #####,BRONX,NY,10458,,,6000,,,,
BRONX,717680,Store,A,BRONX NUTRITIONAL CORP,BRONX NUTRITIONAL,153,EAST 188TH ST,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89847, 40.86169]}",307,,,,-73.89847,40.86169
BRONX,717675,Store,AC,FERNANDEZ ALCIBIADES A,FERNANDEZ DELI GROCERY,1086,KELLY ST,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89582, 40.82576]}",307,1000,,,-73.89582,40.82576
BRONX,717671,Store,AC,AGBANDJALA RABIETOU,ISSOWAZENA AFRICAN MARKET,1158,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89192, 40.82794]}",307,1200,,,-73.89192,40.82794
BRONX,717658,Store,AC,JEN DELI GROCERY CORP,JEN DELI GROCERY,1665,LONGFELLOW AVE,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.88513, 40.83473]}",307,600,,,-73.88513,40.83473
BRONX,717610,Store,A,IZZY GROCERY INC,IZZY GROCERY,291,E GUN HILL RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87461, 40.8792]}",307,,,,-73.87461,40.8792
BRONX,717589,Store,AC,LOS PEREZ DELI FOOD CORP,LOS PEREZ DELI FOOD,2629,MARION AVE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89112, 40.86431]}",307,,,,-73.89112,40.86431
BRONX,717587,Store,AC,J A M W DELI & GROCERY CORP,HILL TOP DELI,1253,CASTLE HILL AVE,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.85132, 40.83315]}",307,,,,-73.85132,40.83315
BRONX,717586,Store,AC,WESTERN BEEF RETAIL INC,WESTERN BEEF STORE #062,1851,BRUCKNER BLVD. ###,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.86283, 40.82699]}",307,50000,,,-73.86283,40.82699
BRONX,717546,Store,AC,630 DELI GROCERY CORP,630 DELI GROCERY CORP,630,WALTON AVE,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.92746, 40.82116]}",307,1200,,,-73.92746,40.82116
BRONX,717541,Store,AC,O AND V DELI GROCERY CORP,O AND V DELI GROCERY,1397,FRANKLIN AVE 1ST FLOOR,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.90025, 40.83408]}",307,12000,,,-73.90025,40.83408
BRONX,717528,Store,AC,SUSANS GREEN GREEN GREEN MARKET INC,SUSANS GREEN GREEN MARKET,3002,BUHRE AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83202, 40.84708]}",307,2000,,,-73.83202,40.84708
BRONX,717525,Store,AC,SEA AND SALT SEAFOOD CORP,SEA AND SALT,15,EAST 170TH ST,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.9171, 40.84]}",307,1500,,,-73.9171,40.84
BRONX,717515,Store,AC,1459 MIA DELI & GROCERY LLC,1459 MIA DELI & GROCERY,1459-1463,STORY AVE,BRONX,NY,10473,"{'type': 'Point', 'coordinates': [-73.88017, 40.82133]}",307,1000,,,-73.88017,40.82133
BRONX,717495,Store,AC,AHMED ADAM,ADAMS DELI,239,BEDFORD PK BLVD,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88667, 40.87114]}",307,700,,,-73.88667,40.87114
BRONX,717459,Store,AC,JEREMY'S GROCERY INC,J-MARKET,1260,MORRISON AVE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.875, 40.83119]}",307,,,,-73.875,40.83119
