Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
754421,1041 Prospect Inc/ Joy Fish  ,Seafood Specialty,1041B,Prospect Ave, ,Bronx,NY,10459,2711,BRONX,40.82473,-73.8996,6/16/2005,3/12/2014
712081,1045 GROCERY & CANDY  ,Small Grocery Store,1045,E 163rd St, ,Bronx,NY,10459,4510,BRONX,40.82105,-73.8913,8/21/2003,3/26/2008
814618,1048 Express Deli Inc  ,Convenience Store,1048,Westchester Ave, ,Bronx,NY,10459,2410,BRONX,40.82466,-73.89182,4/10/2007,1/29/2014
1486973,1054 United Deli & Tobacco Corp  ,Small Grocery Store,1054,Southern Blvd,,Bronx,NY,10459,3426,BRONX,40.82439,-73.89171,2/17/2022, 
1037188,1055 A & M Food Corp  ,Small Grocery Store,1055,University Ave, ,Bronx,NY,10453,4248,BRONX,40.85481,-73.91117,1/9/2012,9/3/2014
852025,1055 University Grocery  ,Medium Grocery Store,1055,Dr Martin L King Jr Blvd, ,Bronx,NY,10452,4248,BRONX,40.83458,-73.93039,4/29/2008,7/28/2009
986498,106 Fruit & Vegetable & Meat Market Inc  ,Combination Grocery/Other,106,W 168th St, ,Bronx,NY,10452,3413,BRONX,40.83823,-73.9245,2/3/2011,12/1/2015
1206639,1078 Deli Grocery Corp  ,Convenience Store,1078,E 165th St, ,Bronx,NY,10459,2589,BRONX,40.82505,-73.89072,8/28/2015,9/22/2019
288111,"1078 GROCERY 2000, INC.  ",Small Grocery Store,1078,E 165th St, ,Bronx,NY,10459,2589,BRONX,40.82503,-73.89061,7/27/2001,7/16/2015
1173782,1083 Prestige Deli & Grocery Corp  ,Convenience Store,1083,Sheridan Ave, ,Bronx,NY,10456, ,BRONX,40.83135,-73.91839,1/26/2015,7/11/2017
1274461,1086 Luna Deli Grocery Corp  ,Convenience Store,1086,Boston Rd,,Bronx,NY,10456,6735,BRONX,40.82699,-73.90503,5/26/2017,12/30/2019
1274461,1086 Luna Deli Grocery Corp  ,Convenience Store,1086,Boston Rd,,Bronx,NY,10456,6735,BRONX,40.82699,-73.90503,1/7/2020,11/29/2024
1274461,1086 Luna Deli Grocery Corp  ,Convenience Store,1086,Boston Rd,,Bronx,NY,10456,6735,BRONX,40.82699,-73.90503,2/10/2025, 
1354023,1088 Gourmet Deli Corp  ,Convenience Store,1088,Washington Ave, ,Bronx,NY,10456,5383,BRONX,40.82834,-73.90851,5/28/2019,8/11/2021
1180641,109 Aj Deli Grocery Corp  ,Small Grocery Store,109,E Tremont Ave, ,Bronx,NY,10453,5803,BRONX,40.85056,-73.90714,2/18/2015,11/22/2019
756233,109 E. Tremont Avenue Grocery Corp  ,Small Grocery Store,109,E Tremont Ave, ,Bronx,NY,10453,5803,BRONX,40.85056,-73.90714,6/28/2005,7/29/2008
956538,109 Santos Grocery Corp.  ,Small Grocery Store,109,East 153rd Street, ,Bronx,NY,10451,5226,BRONX,40.82384,-73.92796,6/23/2010,9/7/2011
860053,1095 Deli Grocery  ,Convenience Store,1095,Prospect Ave, ,Bronx,NY,10459, ,BRONX,40.82587,-73.89909,7/30/2008,1/16/2012
1517612,1097 Deli Grocery Corporation  ,Convenience Store,1097,Boston Rd,,Bronx,NY,10456,6755,BRONX,40.82729,-73.90513,10/14/2022, 
1490687,11 Fordham Gourmet Deli Corp  ,Convenience Store,11,W Fordham Rd,,Bronx,NY,10468,5304,BRONX,40.86295,-73.90163,4/7/2022, 
652802,1101 ALLERTON GROCERY & DELI CORP  ,Small Grocery Store,1101,Allerton Ave, ,Bronx,NY,10469,5328,BRONX,40.86546,-73.85553,8/24/2004,7/8/2010
1029133,1103 Convenience Inc  ,Small Grocery Store,1103B,Castle Hill Ave, ,Bronx,NY,10472,5460,BRONX,40.83008,-73.85067,11/15/2011,7/8/2015
985879,1105 Tinton Deli Grocery Corp  ,Small Grocery Store,1105,Tinton Ave,Frnt 1,Bronx,NY,10456,5416,BRONX,40.8266,-73.90152,1/11/2011,10/19/2016
1347311,1105 Tinton Deli Grocery Corp.  ,Convenience Store,1105,Tinton Ave, ,Bronx,NY,10456,5416,BRONX,40.82655,-73.90154,4/10/2019,12/19/2022
564413,"1106 E 216 STREET FOOD, INC  ",Medium Grocery Store,1106,E 216th St, ,Bronx,NY,10469,2302,BRONX,0.0,0.0,3/28/2001,4/3/2005
924640,1106 Gourmet Deli Inc  ,Convenience Store,1106,Westchester Ave, ,Bronx,NY,10459,2505,BRONX,40.8253,-73.89054,11/30/2009,9/1/2010
966018,1106 Westchester Gourmet Deli Corp  ,Medium Grocery Store,1106,Westchester Ave, ,Bronx,NY,10459,2505,BRONX,40.8253,-73.89054,9/2/2010,9/17/2012
982442,111 Meat & Produce Inc - Food Universe  ,Super Store,111,Dreiser Loop,,Bronx,NY,10475,2701,BRONX,40.87709,-73.82838,1/21/2011, 
970090,1133 Castillo Deli & Grocery Corp  ,Convenience Store,1133,Boston Rd, ,Bronx,NY,10456,5318,BRONX,40.82801,-73.90411,9/21/2010,3/12/2014
775764,1133 Clarissa Grocery Corp  ,Small Grocery Store,1133,Washington Ave, ,Bronx,NY,10456,5308,BRONX,40.82918,-73.90816,1/17/2006,1/19/2011
