county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude,snap_eligible,snap_ever_authorized,snap_match_method,snap_record_id,snap_store_name,snap_store_type,snap_auth_date,snap_end_date,snap_match_distance_m
BRONX,745838,Store,AC,BEST DAY & NIGHT DELI GROCERY CORP,BEST DAY & NIGHT DELI GROCERY,1017,LEGGET AVE,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.89964, 40.81412]}",307,,,,-73.89964,40.81412,0,1,address,1142600.0,Day & Night Deli Grocery Corp.,Small Grocery Store,5/1/2014,9/30/2019,0.0
BRONX,744765,Store,A,PRIME NOW LLC,PRIME NOW,1080,LEGGETT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.8963, 40.81228]}",307,180000.0,,,-73.8963,40.81228,0,1,spatial,904780.0,7-Eleven#39045A,Combination Grocery/Other,7/2/2009,1/16/2012,7.8
BRONX,744542,Store,AC,EDIBLE ARRANGEMENTS LLC,EDIBLE ARRANGEMENTS,880,EAST 163RD STREET ###,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89853, 40.82097]}",307,,,,-73.89853,40.82097,0,1,spatial,1164780.0,Rite Care Pharmacy,Convenience Store,2/18/2015,9/23/2019,21.1
BRONX,743503,Store,A,MO DISCOUNT CORP,MO DISCOUNT,548,SOUTHERN BLVD,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90354, 40.8123]}",307,600.0,,,-73.90354,40.8123,0,1,address,1194011.0,548 Grocery Deli Inc,Convenience Store,5/14/2015,11/22/2019,0.0
BRONX,743488,Store,AC,CPR DELI & GROCERY CORP,CANCUN DELI GROCERY 1,908,EAST 163RD STREET,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89802, 40.82099]}",307,500.0,,,-73.89802,40.82099,0,1,address,1400514.0,Cancun Deli Grocery I,Small Grocery Store,8/19/2020,7/6/2023,0.0
BRONX,743035,Store,AC,INTERVALE DELI FOOD CORP,INTERVALE DELI FOOD,1006,INTERVALE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89686, 40.82339]}",307,,,,-73.89686,40.82339,0,1,address,1364697.0,Intervale Deli Food Corp,Small Grocery Store,10/1/2019,9/23/2025,0.0
BRONX,742852,Store,AC,LOS 2 HERMANITOS DELI GROCERY CORP,LOS 2 HERMANITOS II DELI GROCERY,865,EAST 165TH STREET,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89918, 40.82392]}",307,,,,-73.89918,40.82392,0,1,address,1399217.0,Los 2 Hermanitos II Deli Grocery Corp.,Convenience Store,8/23/2021,5/15/2022,0.0
BRONX,742802,Store,A,FAMILY DOLLAR STORES OF NEW YORK LLC,FAMILY DOLLAR #33004,867,LONGWOOD AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.90093, 40.81913]}",307,,,,-73.90093,40.81913,1,1,address,1405226.0,Family Dollar 13004,Combination Grocery/Other,5/5/2020,,0.0
BRONX,742731,Store,AC,PEACE AND LOVE DELI MARKET CORP,PEACE AND LOVE DELI MARKET,950,LONGWOOD AVENUE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89828, 40.81756]}",307,,,,-73.89828,40.81756,1,1,address,1399600.0,Peace And Love Deli Market Corp,Small Grocery Store,2/19/2021,,0.0
BRONX,741851,Store,ABK,MADRID BAKERY LLC,VALENCIA BAKERY,801,EDGEWATER RD,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88342, 40.81755]}",307,5000.0,,,-73.88342,40.81755,1,1,address,1473109.0,Valencia Bakery 1,Convenience Store,10/7/2024,,0.0
