camis,dba,boro,building,street,zipcode,cuisine_description,latitude,longitude,inspection_date,grade,score
50123723,SEAFOOD SOUL AND TINGZ,Bronx,563,EAST TREMONT AVENUE,10457,American,40.846502987391,-73.894812762505,2026-05-20 00:00:00,,
50162284,MAREA FISH MARKET,Bronx,5219,BROADWAY,10463,Seafood,40.875005620033,-73.909267618268,2026-05-13 00:00:00,,30
41715309,LUCCHESE FOOD SERVICE,Bronx,515,EAST FORDHAM ROAD,10458,American,40.859811060924,-73.887799911236,2026-05-13 00:00:00,A,11
50148794,SUBWAY,Bronx,440,EAST FORDHAM ROAD,10458,Sandwiches,40.86098800174,-73.890071894881,2026-05-13 00:00:00,A,13
50175824,FRESH CHOICE,Bronx,754,BURKE AVENUE,10467,Sandwiches/Salads/Mixed Buffet,40.871388322847,-73.864830856697,2026-05-12 00:00:00,A,8
41011367,MEXICANA DELI GROCERY,Bronx,339,EAST  204 STREET,10467,Mexican,40.872215318406,-73.877835343375,2026-05-11 00:00:00,A,11
50079121,FORDHAM SEAFOOD & CHICKEN,Bronx,2468,GRAND CONCOURSE,10458,Chicken,40.861667367421,-73.897547130305,2026-05-07 00:00:00,A,13
50178145,A1 WINGS AND SEAFOOD,Bronx,3240,3 AVENUE,10451,Seafood,40.823843412413,-73.908824574067,2026-05-04 00:00:00,A,10
50160409,UMI HOTPOT SUSHI & SEAFOOD BUFFET,Bronx,961,EAST  174 STREET,10460,Asian/Asian Fusion,40.836434093724,-73.884973675795,2026-04-23 00:00:00,A,9
50053515,MARTIN'S FOODZ 2 GO,Bronx,3836,DYRE AVENUE,10466,Caribbean,40.888366781729,-73.831280030374,2026-04-17 00:00:00,A,11
50134844,BLIMPIE TWIN DONUT,Bronx,196,EAST  161 STREET,10451,Sandwiches/Salads/Mixed Buffet,40.826424451379,-73.921287044249,2026-04-17 00:00:00,A,11
50178761,ISLAND FOODIE BX,Bronx,2368,HOFFMAN STREET,10458,Caribbean,40.855321885296,-73.889043814866,2026-04-15 00:00:00,A,2
50101469,FOOD HAI CHINESE RESTAURANT,Bronx,2036,BOSTON ROAD,10460,Chinese,40.841017464918,-73.879287911827,2026-04-13 00:00:00,A,9
50169941,167 DOMINICAN DELI GROCERY INC,Bronx,104,EAST  167 STREET,10452,Spanish,40.835005817502,-73.91921698259,2026-04-06 00:00:00,,24
50016600,SUBWAY,Bronx,837,HUTCHINSON RIVER PARKWAY,10465,Sandwiches,40.824147438678,-73.836455025077,2026-04-06 00:00:00,A,7
40693095,SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),Bronx,355,FOOD CENTER DRIVE,10474,American,40.807608187248,-73.871463051581,2026-04-03 00:00:00,,
50044918,LUPITA'S MEXICAN FOOD,Bronx,2366,GRAND CONCOURSE,10458,Mexican,40.859085820135,-73.898953789549,2026-04-01 00:00:00,A,12
50156300,CHRIS SUPER DELI,Bronx,903,SHERIDAN AVENUE,10451,Sandwiches/Salads/Mixed Buffet,40.827085580823,-73.920773159888,2026-03-27 00:00:00,A,12
50125107,LEE'S DELI,Bronx,214,EAST  188 STREET,10458,Sandwiches/Salads/Mixed Buffet,40.861178453964,-73.897153825718,2026-03-25 00:00:00,A,11
41299756,LAS CHATAS TAQUERIA & DELI GROCERY,Bronx,599,EAST  184 STREET,10458,Mexican,40.853708575962,-73.889661037398,2026-03-25 00:00:00,A,13
50050160,SUBWAY,Bronx,1448,EAST AVENUE,10462,Sandwiches,40.836236632024,-73.860352678791,2026-03-18 00:00:00,A,8
41271290,SABOR LATINO SEAFOOD RESTAURANT,Bronx,2161,STARLING AVENUE,10462,Seafood,40.836271466055,-73.853070638634,2026-03-18 00:00:00,A,10
50178662,CARIB SEAFOOD RESTAURANT & BAR,Bronx,2521,WEBSTER AVENUE,10458,Caribbean,40.861340915596,-73.891745167613,2026-03-12 00:00:00,Z,20
50096673,SEA BREEE DELI,Bronx,325,CITY ISLAND AVENUE,10464,Sandwiches,40.84767880895,-73.78666497222,2026-03-05 00:00:00,A,12
41444157,MAMMA ROSA'S,Bronx,1007,ALLERTON AVENUE,10469,Sandwiches,40.865493191577,-73.85844711348,2026-03-03 00:00:00,A,3
50109823,SUNRISING FOOD HUT RESTAURANT INC,Bronx,3497,BOSTON ROAD,10469,Caribbean,40.876967406421,-73.846579863354,2026-03-03 00:00:00,A,7
50089076,3A'S LEGACY SALAD & GRILL,Bronx,445,MORRIS PARK AVENUE,10460,Soups/Salads/Sandwiches,40.840407004557,-73.873145047721,2026-02-12 00:00:00,A,9
41678309,SUBWAY,Bronx,2026,BOSTON ROAD,10460,Sandwiches,40.840762473999,-73.879544979015,2026-02-10 00:00:00,A,12
50145992,BARINO'S MARKET CATERING,Bronx,3244,AMPERE AVENUE,10465,Italian,40.84617607462,-73.819506850452,2026-02-10 00:00:00,A,10
41447862,KINGSBRIDGE COFFEE SHOP,Bronx,17,EAST KINGSBRIDGE ROAD,10468,Sandwiches/Salads/Mixed Buffet,40.867293523723,-73.896941859867,2026-02-06 00:00:00,A,12
50131704,TEHUACAN DELI GROCERY & TAQUERIA,Bronx,1837,WESTCHESTER AVENUE,10472,Mexican,40.832330663428,-73.864773192356,2026-02-05 00:00:00,B,20
50128572,SUBWAY,Bronx,839,PROSPECT AVENUE,10459,Sandwiches,40.820060569313,-73.901466497603,2026-02-03 00:00:00,A,11
50171814,ACE SHAWARMA,Bronx,3455,JEROME AVENUE,10467,Sandwiches/Salads/Mixed Buffet,40.881555079622,-73.882580846754,2026-01-17 00:00:00,A,10
50142021,ARNAUD STEAK & SEAFOOD,Bronx,5686,RIVERDALE AVENUE,10471,Latin American,40.90642856918,-73.904203177041,2026-01-17 00:00:00,B,21
50016091,SUBWAY,Bronx,1047,EAST  163 STREET,10459,Sandwiches,40.820995359134,-73.891055927873,2026-01-07 00:00:00,A,12
50177755,JUICE BAR TROPPI FRUTTI STREET FOOD,Bronx,2308,GRAND CONCOURSE,10458,Fruits/Vegetables,40.85769496438,-73.899780141175,2025-12-22 00:00:00,A,7
50038475,BAILEY SEAFOOD MARKET & RESTAURANT,Bronx,146,WEST  231 STREET,10463,Spanish,40.878132018233,-73.902743397881,2025-12-04 00:00:00,A,13
50144816,LA COCINA Z. SANCHEZ MEXICN FOOD,Bronx,206,WEST  236 STREET,10463,Mexican,40.883541095551,-73.901831340432,2025-12-04 00:00:00,A,13
50138197,EXPRESS FORDHAM FRIED SEAFOOD,Bronx,161,EAST  188 STREET,10468,Seafood,40.861670907854,-73.898443709909,2025-11-21 00:00:00,A,7
50150849,WENDY'S RESTAURANT #19406,Bronx,342,EAST FORDHAM ROAD,10458,Sandwiches,40.861869303222,-73.893241027428,2025-11-18 00:00:00,,
50086659,TASTY PICKS II,Bronx,89,EAST GUN HILL ROAD,10467,Sandwiches,40.881700258024,-73.87964410776,2025-11-17 00:00:00,A,13
50055183,SUBWAY,Bronx,507,EAST  161 STREET,10451,Sandwiches,40.823059345683,-73.910003541385,2025-11-17 00:00:00,A,7
50014100,SUBWAY,Bronx,3976,WHITE PLAINS ROAD,10466,Sandwiches,40.887941920037,-73.860362996008,2025-11-13 00:00:00,A,6
50054129,FORDHAM U - A CRUST & BOAR'S HEAD,Bronx,441,EAST FORDHAM ROAD,10458,Sandwiches/Salads/Mixed Buffet,40.860726736162,-73.889533661913,2025-11-13 00:00:00,A,5
50178604,KAIJIN SEAFOOD,Bronx,691,CO OP CITY BOULEVARD,10475,Seafood,40.879779039121,-73.824289988047,2025-11-10 00:00:00,N,10
50044824,SUBWAY,Bronx,91,EAST  161 STREET,10451,Sandwiches,40.827412033017,-73.924595739271,2025-10-27 00:00:00,A,12
50086524,STOP & GO DELI,Bronx,134,WESTCHESTER SQUARE,10461,Sandwiches,40.840097589964,-73.842671651104,2025-10-23 00:00:00,A,9
50176877,FAST FOOD,Bronx,2310,ARTHUR AVENUE,10458,American,40.853708078497,-73.889144117771,2025-10-23 00:00:00,A,9
50164896,A & S Cucina (Boogie Down Food Hall inside Food Bazar Market at Bronx Terminal Market),Bronx,610,EXTERIOR STREET,10451,Italian,40.821383014047,-73.930831519586,2025-10-21 00:00:00,A,8
41367337,SUBWAY,Bronx,1646,BRUCKNER BOULEVARD,10473,Sandwiches,40.824026926714,-73.873635272519,2025-10-06 00:00:00,A,5
50084095,HALAL MUSA CHINESE FOOD,Bronx,2023,WESTCHESTER AVENUE,10462,Chinese,40.833660420754,-73.856787734981,2025-10-01 00:00:00,,
50136394,SUBWAY,Bronx,2515,BOSTON ROAD,10467,Sandwiches,40.863596229165,-73.864998601074,2025-09-26 00:00:00,A,12
50105936,DUNKIN',Bronx,980,EAST  233 STREET,10466,Sandwiches/Salads/Mixed Buffet,40.890826405359,-73.849318266857,2025-09-26 00:00:00,A,2
50119837,FOUTA HALAL FOOD,Bronx,1762,WESTCHESTER AVENUE,10472,African,40.831406629348,-73.867944216568,2025-09-17 00:00:00,B,17
50157016,LOVE & SOUL FOOD,Bronx,4,EAST GUN HILL ROAD,10467,Caribbean,40.882596541934,-73.881089041196,2025-09-16 00:00:00,A,11
50067813,SUBWAY,Bronx,3044,3 AVENUE,10451,Sandwiches,40.82032508133,-73.912915724028,2025-09-12 00:00:00,A,8
41635314,SUBWAY,Bronx,2173,WHITE PLAINS ROAD,10462,Sandwiches,40.855603921518,-73.867664632223,2025-09-12 00:00:00,A,8
