camis,dba,boro,building,street,zipcode,cuisine_description,latitude,longitude,inspection_date,grade,score
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2025-06-11T00:00:00.000,,41
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2025-06-11T00:00:00.000,,41
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2025-06-11T00:00:00.000,,41
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2025-06-11T00:00:00.000,,41
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2025-06-11T00:00:00.000,,41
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2025-06-11T00:00:00.000,,41
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2024-03-12T00:00:00.000,A,12
40839264,AUGIES DELI & PIZZERIA,Bronx,520,CITY ISLAND AVENUE,10464,Sandwiches,40.852520128138,-73.789421913931,2024-03-12T00:00:00.000,A,12
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-07-14T00:00:00.000,A,12
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-07-14T00:00:00.000,A,12
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-06-04T00:00:00.000,,19
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-06-04T00:00:00.000,,19
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-06-04T00:00:00.000,,19
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-06-04T00:00:00.000,,19
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2024-03-12T00:00:00.000,A,13
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2024-03-12T00:00:00.000,A,13
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2024-03-12T00:00:00.000,A,13
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2024-03-12T00:00:00.000,A,13
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2023-04-25T00:00:00.000,,22
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2023-04-25T00:00:00.000,,22
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2023-04-25T00:00:00.000,,22
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2023-04-25T00:00:00.000,,22
40885478,ROCA TONE SEAFOOD RESTAURANT,Bronx,3740,WHITE PLAINS ROAD,10467,Caribbean,40.882582308452,-73.863343365724,2024-12-17T00:00:00.000,A,10
40885478,ROCA TONE SEAFOOD RESTAURANT,Bronx,3740,WHITE PLAINS ROAD,10467,Caribbean,40.882582308452,-73.863343365724,2024-12-17T00:00:00.000,A,10
