tract_id,lon,lat
36005008700,-73.89727310617326,40.819674330706874
36005011702,-73.8753442700258,40.80987165639283
36005012102,-73.88789794255143,40.8260047916179
36005012901,-73.89873461730492,40.822629037605616
36005012701,-73.89232816324484,40.82563276202013
36005011701,-73.88357782008067,40.814370973078375
36005008500,-73.89907830940234,40.816267221149374
36005008900,-73.89391710958024,40.81855955057367
36005015900,-73.89355904179364,40.8223721508488
36005013100,-73.8978949669679,40.825951221512454
36005011900,-73.88956265791003,40.823280266552814
36005009302,-73.88937120051793,40.8077463625564
36005009301,-73.8891147245958,40.81435464737056
36005011502,-73.8860286912264,40.81968692052257
36005008300,-73.90183573469291,40.81366211443228
36005001904,-73.89836979738523,40.79957638564119
