bbl,standard_address,city_id,city_name,boro_id,boro_name,cd_id,cd_name,sba_id,sba_name,ccd_id,ccd_name,tract_10,res_units,year_built,buildings,assessed_value,owner_name,ser_violation,tax_delinquency,net_inc_sqft,gross_exp_sqft,fld_2020,fld_2050,fld_firm,he_zones,latitude,longitude,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,inc_tar_info,data_dof,data_hcrlihtc,data_hpd,data_hpdlihtc,data_hudcon,data_hudfin,data_hudlihtc,data_ml,data_nycha,sub_fin,sub_prog,sub_tax,sub_zone,prog_202_8,start_202_8,end_202_8,prog_221d,start_221d,end_221d,prog_223,start_223,end_223,prog_420c,start_420c,end_420c,prog_421a,start_421a,end_421a,prog_421a_aff,start_421a_aff,end_421a_aff,prog_8a,start_8a,end_8a,prog_hpd_oth,start_hpd_oth,end_hpd_oth,prog_hud_fin_oth,start_hud_fin_oth,end_hud_fin_oth,prog_hud_proj_oth,start_hud_proj_oth,end_hud_proj_oth,prog_inclus_hous,start_inclus_hous,end_inclus_hous,prog_j51,start_j51,end_j51,prog_lamp,start_lamp,end_lamp,prog_lihtc4,start_lihtc4,end_lihtc4,prog_lihtc9,start_lihtc9,end_lihtc9,prog_lmsa,start_lmsa,end_lmsa,prog_mfp,start_mfp,end_mfp,prog_ml,start_ml,end_ml,prog_nep,start_nep,end_nep,prog_nrp,start_nrp,end_nrp,prog_nycha_mix,start_nycha_mix,end_nycha_mix,prog_nycha_ph,start_nycha_ph,end_nycha_ph,prog_plp,start_plp,end_plp,prog_prac_202,start_prac_202,end_prac_202,prog_proj8,start_proj8,end_proj8,prog_rad,start_rad,end_rad,prog_tpt,start_tpt,end_tpt,prog_year15,start_year15,end_year15
2030410002,4678 Park Avenue,1,New York City,2,Bronx,206,BX 06 - Belmont/East Tremont,3705,Morrisania/Belmont,15,City Council District 15,36005038500,8,1910,2,838350,IDAPARK REALTY LLC,1,0,,,No,No,No,None,40.8583063,-73.89229,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20091104,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2030410003,4682 Park Avenue,1,New York City,2,Bronx,206,BX 06 - Belmont/East Tremont,3705,Morrisania/Belmont,15,City Council District 15,36005038500,9,1910,1,837900,IDAPARK REALTY LLC,1,0,,,No,No,No,None,40.8583913,-73.8922284,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20091104,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2041770028,1701 Parkview Avenue,1,New York City,2,Bronx,210,BX 10 - Throgs Neck/Co-op City,3703,Throgs Neck/Co-op City,13,City Council District 13,36005026602,22,2016,1,678600,PARKVIEW PARTNERS REALTY LLC,0,0,10.4,5.6,No,No,No,None,40.8467143,-73.8280337,0,3,4,0,0,Breakdown available,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,1,20190101,20540101,0,,,0,,,1,20181219,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2028770211,1480 Popham Avenue,1,New York City,2,Bronx,205,BX 05 - Fordham/University Heights,3707,University Heights/Fordham,14,City Council District 14,36005020501,72,1931,1,1030950,"1480 POPHAM REALTY,",1,0,5.5,9.7,No,No,No,None,40.8477162,-73.9216855,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20050128,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2028770268,1679 Popham Avenue,1,New York City,2,Bronx,205,BX 05 - Fordham/University Heights,3707,University Heights/Fordham,14,City Council District 14,36005020501,6,1933,1,533700,"CPE HOUSING DEVELOPMENT FUND COMPANY, IN C.",0,0,,,No,No,No,None,40.8497905,-73.9206673,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160308,
2025720001,324 Powers Avenue,1,New York City,2,Bronx,201,BX 01 - Mott Haven/Melrose,3710,Mott Haven/Hunts Point,8,City Council District 8,36005003300,60,1920,1,2236050,DIEGO BEEKMAN MUTUAL HOUSING ASSOC HOUSI NG DEVELOPMENT FUND CORP,1,0,16.7,16.5,No,No,No,None,40.8073757,-73.9121568,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20060623,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20180626,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2029710010,1380 Prospect Avenue,1,New York City,2,Bronx,203,BX 03 - Morrisania/Crotona,3705,Morrisania/Belmont,17,City Council District 17,36005015300,11,1904,1,179550,"CPE HOUSING DEVELOPMENT FUND COMPANY, IN C.",1,0,4.4,7.7,No,No,No,None,40.8310304,-73.8964716,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160308,
2029710012,1382 Prospect Avenue,1,New York City,2,Bronx,203,BX 03 - Morrisania/Crotona,3705,Morrisania/Belmont,17,City Council District 17,36005015300,11,1904,1,214200,"CPE HOUSING DEVELOPMENT FUND COMPANY, IN C.",1,0,5.2,6.9,No,No,No,None,40.8311512,-73.8964823,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160308,
2029710014,1384 Prospect Avenue,1,New York City,2,Bronx,203,BX 03 - Morrisania/Crotona,3705,Morrisania/Belmont,17,City Council District 17,36005015300,11,1904,1,224550,"CPE HOUSING DEVELOPMENT FUND COMPANY, IN C.",1,0,5.4,6.7,No,No,No,None,40.831261,-73.8964677,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160308,
2026850028,634 Prospect Avenue,1,New York City,2,Bronx,202,BX 02 - Hunts Point/Longwood,3710,Mott Haven/Hunts Point,17,City Council District 17,36005008300,25,1906,1,332100,"CEHP HOUSING DEVELOPMENT FUND COMPANY, I NC.",1,1,8.2,11.9,No,No,No,None,40.8148562,-73.9031766,,,,,,Information unavailable,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19980101,20320101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20150619,
2026750053,729 Prospect Avenue,1,New York City,2,Bronx,201,BX 01 - Mott Haven/Melrose,3710,Mott Haven/Hunts Point,8,City Council District 8,36005007900,16,1906,1,410850,PA 729 CORP,1,0,10,8,No,No,No,None,40.8171287,-73.9030252,,,,,,Information unavailable,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20050622,,0,,,0,,,0,,,0,,,1,20170701,20370630,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2026750051,733 Prospect Avenue,1,New York City,2,Bronx,201,BX 01 - Mott Haven/Melrose,3710,Mott Haven/Hunts Point,8,City Council District 8,36005007900,17,1906,1,347400,PROSPECT AVE 733 LLC,1,0,10,12.5,No,No,No,None,40.8172302,-73.9029853,,,,,,Information unavailable,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20050622,,0,,,0,,,0,,,0,,,1,20170701,20370630,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2039350039,1360 Purdy Street,1,New York City,2,Bronx,209,BX 09 - Parkchester/Soundview,3709,Soundview/Parkchester,18,City Council District 18,36005022200,8,2017,1,640350,GALAXY TOWERS APARTMENTS INC.,0,0,,,No,No,No,Zone 6,40.8359236,-73.8528849,0,2,3,0,0,Breakdown available,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,1,20190101,20540101,0,,,0,,,1,20181109,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2038940001,1403 Rosedale Avenue,1,New York City,2,Bronx,209,BX 09 - Parkchester/Soundview,3709,Soundview/Parkchester,18,City Council District 18,36005007600,56,1927,1,2165400,ROSEDALE ASSOCIATES L,1,0,,,No,No,No,Zone 6,40.8349783,-73.8702982,,,,,,Information unavailable,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20120628,,0,,,0,,,0,,,0,,,1,20130101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2039730035,1415 Rowland Street,1,New York City,2,Bronx,210,BX 10 - Throgs Neck/Co-op City,3709,Soundview/Parkchester,18,City Council District 18,36005020200,6,1927,1,430200,VALENTI AMELIA,1,0,,,No,No,No,Zone 5,40.8378252,-73.8462166,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20180510,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2031580043,2243 Ryer Avenue,1,New York City,2,Bronx,205,BX 05 - Fordham/University Heights,3707,University Heights/Fordham,15,City Council District 15,36005038301,21,1924,1,414450,"BILIG REALTY HOUSING DEVELOPMENT FUND CO MPANY, INC",0,0,7.3,9.2,No,No,No,None,40.8561584,-73.8997655,,,,,,Information unavailable,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20171031,,0,,,0,,,0,,,1,19960101,20300101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2031580041,2247 Ryer Avenue,1,New York City,2,Bronx,205,BX 05 - Fordham/University Heights,3707,University Heights/Fordham,15,City Council District 15,36005038301,22,1916,1,417150,"BILIG REALTY HOUSING DEVELOPMENT FUND CO MPANY, INC",0,0,7.8,7.8,No,No,No,None,40.8562846,-73.8996966,,,,,,Information unavailable,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20171031,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2031520003,2380 Ryer Avenue,1,New York City,2,Bronx,205,BX 05 - Fordham/University Heights,3706,Kingsbridge Heights/Mosholu,15,City Council District 15,36005023702,36,1925,1,453150,WEBSTER RYER HOUSING DEVELOPMENT FUND CO RPORATION,1,0,5.5,5.5,No,No,No,None,40.8593323,-73.8978194,,,,,,Information unavailable,1,0,1,0,0,0,0,0,0,0,1,1,0,0,,,0,,,0,,,1,20150101,20590101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20140618,
