fc_subsidy_id,ref_bbl,ref_address,agency_name,subsidy_name,sub_subsidy_name,project_name,start_date,end_date,tenure,preservation,program,reac_score,reac_date,tot_bbls,tot_buildings,tot_units,city_id,city_name,boro_id,boro_name,cd_id,cd_name,sba_id,sba_name,ccd_id,ccd_name,tract_10,data_dof,data_hcrlihtc,data_hpd,data_hpdlihtc,data_hudcon,data_hudfin,data_hudlihtc,data_ml,data_nycha,sub_fin,sub_prog,sub_tax,sub_zone,prog_202_8,start_202_8,end_202_8,prog_221d,start_221d,end_221d,prog_223,start_223,end_223,prog_420c,start_420c,end_420c,prog_421a,start_421a,end_421a,prog_421a_aff,start_421a_aff,end_421a_aff,prog_8a,start_8a,end_8a,prog_hpd_oth,start_hpd_oth,end_hpd_oth,prog_hud_fin_oth,start_hud_fin_oth,end_hud_fin_oth,prog_hud_proj_oth,start_hud_proj_oth,end_hud_proj_oth,prog_inclus_hous,start_inclus_hous,end_inclus_hous,prog_j51,start_j51,end_j51,prog_lamp,start_lamp,end_lamp,prog_lihtc4,start_lihtc4,end_lihtc4,prog_lihtc9,start_lihtc9,end_lihtc9,prog_lmsa,start_lmsa,end_lmsa,prog_mfp,start_mfp,end_mfp,prog_ml,start_ml,end_ml,prog_nep,start_nep,end_nep,prog_nrp,start_nrp,end_nrp,prog_nycha_mix,start_nycha_mix,end_nycha_mix,prog_nycha_ph,start_nycha_ph,end_nycha_ph,prog_plp,start_plp,end_plp,prog_prac_202,start_prac_202,end_prac_202,prog_proj8,start_proj8,end_proj8,prog_rad,start_rad,end_rad,prog_tpt,start_tpt,end_tpt,prog_year15,start_year15,end_year15
07000000021845,1020340064,2796 Fredrick Douglass Bl,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20210101,20520101,,Preservation,FALSE,,,1,1,11,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20210101,20520101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021846,1020347501,255 West 148 Street,NYC Department of Finance,Property Tax Incentives,421-a Tax Incentive Program,,20060101,20310101,,New Construction,FALSE,,,1,8,104,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,0,,,1,20060101,20310101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021848,1020360016,281 West 150 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20110101,20550101,,Preservation,FALSE,,,1,1,20,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20110101,20550101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021849,1020360024,271 West 150 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20150101,20590101,,Preservation,FALSE,,,1,1,11,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20150101,20590101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021853,1020380001,2852 8 Avenue,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,19940101,20380101,,Preservation,FALSE,,,1,1,69,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,19940101,20380101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021856,1020380005,263 West 152 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20080101,20520101,,Preservation,FALSE,,,1,1,35,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20080101,20520101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021857,1020380007,259 West 152 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20140101,20580101,,Preservation,FALSE,,,1,1,24,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20140101,20580101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021858,1020380009,67 Macombs Place,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20140101,20580101,,Preservation,FALSE,,,1,1,34,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20140101,20580101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021859,1020480037,123 Edgecombe Avenue,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20190101,20270101,,Preservation,FALSE,,,1,1,30,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061022102,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20190101,20270101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021860,1020387501,258 West 153 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20180101,20620101,,Preservation,FALSE,,,1,1,51,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20180101,20620101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
