NAME,B11001_001E,state,county,tract,GEOID,year
Census Tract 19.04; Bronx County; New York,0,36,005,001904,36005001904,2023
Census Tract 83; Bronx County; New York,2239,36,005,008300,36005008300,2023
Census Tract 85; Bronx County; New York,2110,36,005,008500,36005008500,2023
Census Tract 87; Bronx County; New York,2109,36,005,008700,36005008700,2023
Census Tract 89; Bronx County; New York,1327,36,005,008900,36005008900,2023
Census Tract 93.01; Bronx County; New York,1918,36,005,009301,36005009301,2023
Census Tract 93.02; Bronx County; New York,0,36,005,009302,36005009302,2023
Census Tract 115.02; Bronx County; New York,1507,36,005,011502,36005011502,2023
Census Tract 117.01; Bronx County; New York,492,36,005,011701,36005011701,2023
Census Tract 117.02; Bronx County; New York,0,36,005,011702,36005011702,2023
Census Tract 119; Bronx County; New York,1874,36,005,011900,36005011900,2023
Census Tract 121.02; Bronx County; New York,548,36,005,012102,36005012102,2023
Census Tract 127.01; Bronx County; New York,775,36,005,012701,36005012701,2023
Census Tract 129.01; Bronx County; New York,1653,36,005,012901,36005012901,2023
Census Tract 131; Bronx County; New York,2240,36,005,013100,36005013100,2023
Census Tract 159; Bronx County; New York,929,36,005,015900,36005015900,2023
