NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 19.04, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2021,0,0,0,0
"Census Tract 83, Bronx County, New York",2270,227,197,55,161,14,183,130,272,265,40,285,188,104,61,50,38,36,005,008300,36005008300,2021,640,864,766,2270
"Census Tract 85, Bronx County, New York",2142,254,255,212,97,151,126,95,74,21,99,119,377,117,54,0,91,36,005,008500,36005008500,2021,818,467,857,2142
"Census Tract 87, Bronx County, New York",2038,313,190,291,166,50,99,89,110,77,139,131,139,111,82,8,43,36,005,008700,36005008700,2021,960,425,653,2038
"Census Tract 89, Bronx County, New York",1227,93,83,72,251,123,67,21,71,22,162,15,129,52,26,40,0,36,005,008900,36005008900,2021,499,304,424,1227
"Census Tract 93.01, Bronx County, New York",1773,237,162,231,82,23,38,128,100,121,77,136,55,33,66,260,24,36,005,009301,36005009301,2021,712,410,651,1773
"Census Tract 93.02, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,009302,36005009302,2021,0,0,0,0
"Census Tract 115.02, Bronx County, New York",1377,218,259,142,99,66,81,15,49,122,40,70,66,46,60,0,44,36,005,011502,36005011502,2021,718,333,326,1377
"Census Tract 117.01, Bronx County, New York",499,77,87,5,35,27,13,49,36,15,48,77,9,15,4,2,0,36,005,011701,36005011701,2021,204,140,155,499
"Census Tract 117.02, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702,36005011702,2021,0,0,0,0
"Census Tract 119, Bronx County, New York",1942,336,178,113,132,94,202,44,67,44,226,132,133,66,13,116,46,36,005,011900,36005011900,2021,759,451,732,1942
"Census Tract 121.02, Bronx County, New York",580,24,115,72,27,79,28,0,25,0,90,19,7,46,48,0,0,36,005,012102,36005012102,2021,238,132,210,580
"Census Tract 127.01, Bronx County, New York",756,76,68,60,60,27,88,24,7,46,62,79,42,76,18,23,0,36,005,012701,36005012701,2021,264,192,300,756
"Census Tract 129.01, Bronx County, New York",1649,164,241,70,116,194,54,165,81,43,139,91,81,110,72,28,0,36,005,012901,36005012901,2021,591,537,521,1649
"Census Tract 131, Bronx County, New York",2080,369,335,282,49,99,43,125,125,0,113,171,169,65,61,22,52,36,005,013100,36005013100,2021,1035,392,653,2080
"Census Tract 159, Bronx County, New York",816,125,194,50,15,54,14,21,7,13,42,29,168,14,28,20,22,36,005,015900,36005015900,2021,384,109,323,816
