NAME,B11001_001E,state,county,tract,GEOID,year
Census Tract 1; Bronx County; New York,0,36,005,000100,36005000100,2023
Census Tract 2; Bronx County; New York,1446,36,005,000200,36005000200,2023
Census Tract 4; Bronx County; New York,2246,36,005,000400,36005000400,2023
Census Tract 16; Bronx County; New York,2149,36,005,001600,36005001600,2023
Census Tract 19.01; Bronx County; New York,1092,36,005,001901,36005001901,2023
Census Tract 19.02; Bronx County; New York,566,36,005,001902,36005001902,2023
Census Tract 19.03; Bronx County; New York,0,36,005,001903,36005001903,2023
Census Tract 19.04; Bronx County; New York,0,36,005,001904,36005001904,2023
Census Tract 20.01; Bronx County; New York,1726,36,005,002001,36005002001,2023
Census Tract 20.02; Bronx County; New York,1832,36,005,002002,36005002002,2023
Census Tract 23; Bronx County; New York,1917,36,005,002300,36005002300,2023
Census Tract 24; Bronx County; New York,0,36,005,002400,36005002400,2023
Census Tract 25; Bronx County; New York,1903,36,005,002500,36005002500,2023
Census Tract 27.01; Bronx County; New York,1167,36,005,002701,36005002701,2023
Census Tract 27.02; Bronx County; New York,1508,36,005,002702,36005002702,2023
Census Tract 28; Bronx County; New York,2717,36,005,002800,36005002800,2023
Census Tract 31; Bronx County; New York,1104,36,005,003100,36005003100,2023
Census Tract 33; Bronx County; New York,1225,36,005,003300,36005003300,2023
Census Tract 35; Bronx County; New York,1483,36,005,003500,36005003500,2023
Census Tract 37; Bronx County; New York,158,36,005,003700,36005003700,2023
Census Tract 38; Bronx County; New York,377,36,005,003800,36005003800,2023
Census Tract 39; Bronx County; New York,2299,36,005,003900,36005003900,2023
Census Tract 40.01; Bronx County; New York,507,36,005,004001,36005004001,2023
Census Tract 41; Bronx County; New York,2359,36,005,004100,36005004100,2023
Census Tract 42; Bronx County; New York,2837,36,005,004200,36005004200,2023
Census Tract 43; Bronx County; New York,2099,36,005,004300,36005004300,2023
Census Tract 44; Bronx County; New York,1578,36,005,004400,36005004400,2023
Census Tract 46; Bronx County; New York,658,36,005,004600,36005004600,2023
Census Tract 48; Bronx County; New York,1504,36,005,004800,36005004800,2023
Census Tract 50.01; Bronx County; New York,1343,36,005,005001,36005005001,2023
Census Tract 50.02; Bronx County; New York,1888,36,005,005002,36005005002,2023
Census Tract 51; Bronx County; New York,2621,36,005,005100,36005005100,2023
Census Tract 52; Bronx County; New York,788,36,005,005200,36005005200,2023
Census Tract 53; Bronx County; New York,1595,36,005,005300,36005005300,2023
