NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2022,0,0,0,0
Census Tract 83; Bronx County; New York,2317,125,250,44,124,28,131,193,146,20,281,128,321,186,31,262,47,36,005,008300,36005008300,2022,543,518,1256,2317
Census Tract 85; Bronx County; New York,2148,312,185,257,57,150,134,43,79,72,86,78,436,130,36,27,66,36,005,008500,36005008500,2022,811,478,859,2148
Census Tract 87; Bronx County; New York,2088,269,122,222,223,86,62,182,97,121,46,237,111,76,141,33,60,36,005,008700,36005008700,2022,836,548,704,2088
Census Tract 89; Bronx County; New York,1294,77,149,84,102,116,36,26,173,62,123,67,122,81,0,58,18,36,005,008900,36005008900,2022,412,413,469,1294
Census Tract 93.01; Bronx County; New York,1876,178,105,165,81,94,19,77,122,163,224,111,134,35,47,232,89,36,005,009301,36005009301,2022,529,475,872,1876
Census Tract 93.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,009302,36005009302,2022,0,0,0,0
Census Tract 115.02; Bronx County; New York,1439,229,165,125,121,142,48,57,25,64,123,86,45,79,96,7,27,36,005,011502,36005011502,2022,640,336,463,1439
Census Tract 117.01; Bronx County; New York,493,96,78,0,26,25,31,0,77,0,45,27,51,0,29,8,0,36,005,011701,36005011701,2022,200,133,160,493
Census Tract 117.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702,36005011702,2022,0,0,0,0
Census Tract 119; Bronx County; New York,1944,230,252,107,109,146,157,128,63,0,77,140,260,32,90,128,25,36,005,011900,36005011900,2022,698,494,752,1944
Census Tract 121.02; Bronx County; New York,522,16,115,20,56,29,0,18,18,20,91,40,28,14,0,57,0,36,005,012102,36005012102,2022,207,85,230,522
Census Tract 127.01; Bronx County; New York,780,38,55,84,52,21,39,75,30,46,76,41,63,25,100,35,0,36,005,012701,36005012701,2022,229,211,340,780
Census Tract 129.01; Bronx County; New York,1739,256,234,124,37,13,47,144,131,30,152,71,232,169,96,0,3,36,005,012901,36005012901,2022,651,365,723,1739
Census Tract 131; Bronx County; New York,2107,437,335,361,46,41,66,15,168,96,0,168,129,33,134,50,28,36,005,013100,36005013100,2022,1179,386,542,2107
Census Tract 159; Bronx County; New York,873,104,171,135,30,0,57,43,9,0,30,31,118,71,27,19,28,36,005,015900,36005015900,2022,440,109,324,873
