NAME,B11001_001E,state,county,tract,GEOID,year
Census Tract 1; Bronx County; New York,0,36,005,000100,36005000100,2024
Census Tract 2; Bronx County; New York,1416,36,005,000200,36005000200,2024
Census Tract 4; Bronx County; New York,2218,36,005,000400,36005000400,2024
Census Tract 16; Bronx County; New York,2083,36,005,001600,36005001600,2024
Census Tract 19.01; Bronx County; New York,1149,36,005,001901,36005001901,2024
Census Tract 19.02; Bronx County; New York,624,36,005,001902,36005001902,2024
Census Tract 19.03; Bronx County; New York,0,36,005,001903,36005001903,2024
Census Tract 19.04; Bronx County; New York,0,36,005,001904,36005001904,2024
Census Tract 20.01; Bronx County; New York,1729,36,005,002001,36005002001,2024
Census Tract 20.02; Bronx County; New York,1808,36,005,002002,36005002002,2024
Census Tract 23; Bronx County; New York,1904,36,005,002300,36005002300,2024
Census Tract 24; Bronx County; New York,0,36,005,002400,36005002400,2024
Census Tract 25; Bronx County; New York,1872,36,005,002500,36005002500,2024
Census Tract 27.01; Bronx County; New York,1197,36,005,002701,36005002701,2024
Census Tract 27.02; Bronx County; New York,1528,36,005,002702,36005002702,2024
Census Tract 28; Bronx County; New York,2806,36,005,002800,36005002800,2024
Census Tract 31; Bronx County; New York,1162,36,005,003100,36005003100,2024
Census Tract 33; Bronx County; New York,1243,36,005,003300,36005003300,2024
Census Tract 35; Bronx County; New York,1428,36,005,003500,36005003500,2024
Census Tract 37; Bronx County; New York,149,36,005,003700,36005003700,2024
Census Tract 38; Bronx County; New York,392,36,005,003800,36005003800,2024
Census Tract 39; Bronx County; New York,2197,36,005,003900,36005003900,2024
Census Tract 40.01; Bronx County; New York,489,36,005,004001,36005004001,2024
Census Tract 41; Bronx County; New York,2468,36,005,004100,36005004100,2024
Census Tract 42; Bronx County; New York,2839,36,005,004200,36005004200,2024
Census Tract 43; Bronx County; New York,2230,36,005,004300,36005004300,2024
Census Tract 44; Bronx County; New York,1539,36,005,004400,36005004400,2024
Census Tract 46; Bronx County; New York,664,36,005,004600,36005004600,2024
Census Tract 48; Bronx County; New York,1498,36,005,004800,36005004800,2024
Census Tract 50.01; Bronx County; New York,1406,36,005,005001,36005005001,2024
Census Tract 50.02; Bronx County; New York,1880,36,005,005002,36005005002,2024
Census Tract 51; Bronx County; New York,2930,36,005,005100,36005005100,2024
Census Tract 52; Bronx County; New York,813,36,005,005200,36005005200,2024
Census Tract 53; Bronx County; New York,1614,36,005,005300,36005005300,2024
Census Tract 54; Bronx County; New York,1756,36,005,005400,36005005400,2024
Census Tract 56; Bronx County; New York,1006,36,005,005600,36005005600,2024
Census Tract 59.02; Bronx County; New York,1288,36,005,005902,36005005902,2024
Census Tract 60; Bronx County; New York,386,36,005,006000,36005006000,2024
Census Tract 61; Bronx County; New York,1875,36,005,006100,36005006100,2024
Census Tract 62; Bronx County; New York,2544,36,005,006200,36005006200,2024
Census Tract 63.01; Bronx County; New York,3045,36,005,006301,36005006301,2024
Census Tract 63.02; Bronx County; New York,0,36,005,006302,36005006302,2024
Census Tract 64; Bronx County; New York,1574,36,005,006400,36005006400,2024
Census Tract 65; Bronx County; New York,2245,36,005,006500,36005006500,2024
Census Tract 67; Bronx County; New York,2640,36,005,006700,36005006700,2024
Census Tract 68; Bronx County; New York,893,36,005,006800,36005006800,2024
Census Tract 69; Bronx County; New York,2705,36,005,006900,36005006900,2024
Census Tract 70; Bronx County; New York,1447,36,005,007000,36005007000,2024
Census Tract 71; Bronx County; New York,1530,36,005,007100,36005007100,2024
Census Tract 72; Bronx County; New York,1625,36,005,007200,36005007200,2024
Census Tract 73; Bronx County; New York,1602,36,005,007300,36005007300,2024
Census Tract 74; Bronx County; New York,1429,36,005,007400,36005007400,2024
Census Tract 75; Bronx County; New York,2430,36,005,007500,36005007500,2024
Census Tract 76; Bronx County; New York,1822,36,005,007600,36005007600,2024
Census Tract 77; Bronx County; New York,601,36,005,007700,36005007700,2024
Census Tract 78; Bronx County; New York,1932,36,005,007800,36005007800,2024
Census Tract 79; Bronx County; New York,2225,36,005,007900,36005007900,2024
Census Tract 83; Bronx County; New York,2213,36,005,008300,36005008300,2024
Census Tract 84; Bronx County; New York,1023,36,005,008400,36005008400,2024
Census Tract 85; Bronx County; New York,2189,36,005,008500,36005008500,2024
Census Tract 86; Bronx County; New York,1550,36,005,008600,36005008600,2024
Census Tract 87; Bronx County; New York,2091,36,005,008700,36005008700,2024
Census Tract 89; Bronx County; New York,1346,36,005,008900,36005008900,2024
Census Tract 90; Bronx County; New York,1281,36,005,009000,36005009000,2024
Census Tract 92; Bronx County; New York,1872,36,005,009200,36005009200,2024
Census Tract 93.01; Bronx County; New York,1912,36,005,009301,36005009301,2024
Census Tract 93.02; Bronx County; New York,0,36,005,009302,36005009302,2024
Census Tract 96; Bronx County; New York,818,36,005,009600,36005009600,2024
Census Tract 98; Bronx County; New York,1669,36,005,009800,36005009800,2024
Census Tract 110; Bronx County; New York,0,36,005,011000,36005011000,2024
Census Tract 115.02; Bronx County; New York,1513,36,005,011502,36005011502,2024
Census Tract 117.01; Bronx County; New York,474,36,005,011701,36005011701,2024
Census Tract 117.02; Bronx County; New York,0,36,005,011702,36005011702,2024
Census Tract 118; Bronx County; New York,1517,36,005,011800,36005011800,2024
Census Tract 119; Bronx County; New York,1875,36,005,011900,36005011900,2024
Census Tract 121.01; Bronx County; New York,1057,36,005,012101,36005012101,2024
Census Tract 121.02; Bronx County; New York,572,36,005,012102,36005012102,2024
Census Tract 123; Bronx County; New York,1772,36,005,012300,36005012300,2024
Census Tract 125; Bronx County; New York,1449,36,005,012500,36005012500,2024
Census Tract 127.01; Bronx County; New York,745,36,005,012701,36005012701,2024
Census Tract 129.01; Bronx County; New York,1744,36,005,012901,36005012901,2024
Census Tract 130; Bronx County; New York,472,36,005,013000,36005013000,2024
