NAME,B11001_001E,state,county,tract,GEOID,year
"Census Tract 199, Bronx County, New York",3145,36,005,019900,36005019900,2020
"Census Tract 200, Bronx County, New York",1466,36,005,020000,36005020000,2020
"Census Tract 201, Bronx County, New York",1288,36,005,020100,36005020100,2020
"Census Tract 202, Bronx County, New York",875,36,005,020200,36005020200,2020
"Census Tract 204, Bronx County, New York",994,36,005,020400,36005020400,2020
"Census Tract 205.01, Bronx County, New York",2697,36,005,020501,36005020501,2020
"Census Tract 205.02, Bronx County, New York",995,36,005,020502,36005020502,2020
"Census Tract 206.01, Bronx County, New York",864,36,005,020601,36005020601,2020
"Census Tract 209, Bronx County, New York",1848,36,005,020900,36005020900,2020
"Census Tract 210.01, Bronx County, New York",3666,36,005,021001,36005021001,2020
"Census Tract 210.02, Bronx County, New York",3263,36,005,021002,36005021002,2020
"Census Tract 211, Bronx County, New York",1803,36,005,021100,36005021100,2020
"Census Tract 212, Bronx County, New York",2323,36,005,021200,36005021200,2020
"Census Tract 213.01, Bronx County, New York",409,36,005,021301,36005021301,2020
"Census Tract 213.02, Bronx County, New York",2406,36,005,021302,36005021302,2020
"Census Tract 215.01, Bronx County, New York",1319,36,005,021501,36005021501,2020
"Census Tract 215.02, Bronx County, New York",2112,36,005,021502,36005021502,2020
"Census Tract 216.01, Bronx County, New York",1468,36,005,021601,36005021601,2020
"Census Tract 216.02, Bronx County, New York",2200,36,005,021602,36005021602,2020
"Census Tract 217, Bronx County, New York",1610,36,005,021700,36005021700,2020
"Census Tract 218, Bronx County, New York",2265,36,005,021800,36005021800,2020
"Census Tract 219, Bronx County, New York",379,36,005,021900,36005021900,2020
"Census Tract 220, Bronx County, New York",620,36,005,022000,36005022000,2020
"Census Tract 221.01, Bronx County, New York",1258,36,005,022101,36005022101,2020
"Census Tract 221.02, Bronx County, New York",1593,36,005,022102,36005022102,2020
"Census Tract 222, Bronx County, New York",1007,36,005,022200,36005022200,2020
"Census Tract 223, Bronx County, New York",1993,36,005,022300,36005022300,2020
