NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 1; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,000100,36005000100,2024,0,0,0,0
Census Tract 2; Bronx County; New York,1416,65,27,0,43,0,96,0,0,0,43,112,181,233,155,136,325,36,005,000200,36005000200,2024,135,96,1185,1416
Census Tract 4; Bronx County; New York,2218,94,89,23,19,11,21,21,53,53,243,74,346,242,54,662,213,36,005,000400,36005000400,2024,225,159,1834,2218
Census Tract 16; Bronx County; New York,2083,149,145,97,161,92,40,149,88,81,169,165,277,112,83,73,202,36,005,001600,36005001600,2024,552,450,1081,2083
Census Tract 19.01; Bronx County; New York,1149,73,53,130,77,45,87,18,12,43,48,121,81,155,30,50,126,36,005,001901,36005001901,2024,333,205,611,1149
Census Tract 19.02; Bronx County; New York,624,147,19,8,36,0,0,0,32,101,0,55,41,0,24,139,22,36,005,001902,36005001902,2024,210,133,281,624
Census Tract 19.03; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001903,36005001903,2024,0,0,0,0
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2024,0,0,0,0
Census Tract 20.01; Bronx County; New York,1729,291,343,200,117,156,0,57,181,17,35,101,129,39,63,0,0,36,005,002001,36005002001,2024,951,411,367,1729
Census Tract 20.02; Bronx County; New York,1808,211,516,291,74,31,0,0,73,64,21,0,231,80,196,0,20,36,005,002002,36005002002,2024,1092,168,548,1808
Census Tract 23; Bronx County; New York,1904,654,233,161,137,81,80,72,31,55,22,154,76,104,0,44,0,36,005,002300,36005002300,2024,1185,319,400,1904
Census Tract 24; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,002400,36005002400,2024,0,0,0,0
Census Tract 25; Bronx County; New York,1872,172,210,127,192,99,109,192,143,94,240,130,94,47,0,23,0,36,005,002500,36005002500,2024,701,637,534,1872
Census Tract 27.01; Bronx County; New York,1197,215,265,105,129,15,125,75,27,61,0,78,45,42,15,0,0,36,005,002701,36005002701,2024,714,303,180,1197
