NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 215.02, Bronx County, New York",2112,439,224,150,124,118,91,109,279,100,126,111,82,13,61,85,0,36,005,021502,36005021502,2020,937,697,478,2112
"Census Tract 216.01, Bronx County, New York",1468,177,56,115,103,146,117,55,83,71,121,102,93,71,80,27,51,36,005,021601,36005021601,2020,451,472,545,1468
"Census Tract 216.02, Bronx County, New York",2200,144,91,36,126,22,63,76,120,195,300,300,288,182,127,77,53,36,005,021602,36005021602,2020,397,476,1327,2200
"Census Tract 217, Bronx County, New York",1610,184,164,123,120,36,37,127,97,106,118,146,188,18,81,54,11,36,005,021700,36005021700,2020,591,403,616,1610
"Census Tract 218, Bronx County, New York",2265,189,62,368,65,167,25,150,86,125,115,316,312,146,80,47,12,36,005,021800,36005021800,2020,684,553,1028,2265
"Census Tract 219, Bronx County, New York",379,46,60,46,37,18,0,11,30,35,29,30,16,10,5,6,0,36,005,021900,36005021900,2020,189,94,96,379
"Census Tract 220, Bronx County, New York",620,86,1,77,79,49,17,20,37,45,29,73,58,21,10,0,18,36,005,022000,36005022000,2020,243,168,209,620
"Census Tract 221.01, Bronx County, New York",1258,227,99,53,59,20,101,19,120,39,228,112,52,94,11,24,0,36,005,022101,36005022101,2020,438,299,521,1258
"Census Tract 221.02, Bronx County, New York",1593,142,139,166,122,148,87,124,36,170,186,49,109,115,0,0,0,36,005,022102,36005022102,2020,569,565,459,1593
"Census Tract 222, Bronx County, New York",1007,45,43,118,33,68,17,69,43,12,158,159,91,63,37,47,4,36,005,022200,36005022200,2020,239,209,559,1007
"Census Tract 223, Bronx County, New York",1993,434,199,258,43,136,162,245,75,24,108,74,118,103,0,14,0,36,005,022300,36005022300,2020,934,642,417,1993
"Census Tract 224.01, Bronx County, New York",1047,102,18,65,17,48,40,105,111,24,56,140,231,20,26,31,13,36,005,022401,36005022401,2020,202,328,517,1047
"Census Tract 224.03, Bronx County, New York",1230,102,145,8,92,57,95,22,49,22,65,93,174,126,161,19,0,36,005,022403,36005022403,2020,347,245,638,1230
"Census Tract 224.04, Bronx County, New York",1839,171,25,132,48,96,52,80,37,46,265,222,323,134,58,78,72,36,005,022404,36005022404,2020,376,311,1152,1839
"Census Tract 225, Bronx County, New York",2220,224,122,70,130,92,196,149,40,209,160,327,352,38,62,0,49,36,005,022500,36005022500,2020,546,686,988,2220
"Census Tract 227.01, Bronx County, New York",1934,291,156,372,150,22,86,66,69,49,93,261,213,72,0,28,6,36,005,022701,36005022701,2020,969,292,673,1934
"Census Tract 227.02, Bronx County, New York",538,93,15,29,100,49,0,20,95,0,31,14,58,6,9,0,19,36,005,022702,36005022702,2020,237,164,137,538
"Census Tract 227.03, Bronx County, New York",659,43,13,71,6,29,15,38,25,27,24,116,165,58,0,24,5,36,005,022703,36005022703,2020,133,134,392,659
"Census Tract 228, Bronx County, New York",2457,51,102,90,113,66,66,65,116,174,390,257,354,268,57,110,178,36,005,022800,36005022800,2020,356,487,1614,2457
"Census Tract 229.01, Bronx County, New York",1927,356,318,156,28,47,52,41,128,141,83,185,123,141,57,50,21,36,005,022901,36005022901,2020,858,409,660,1927
"Census Tract 229.02, Bronx County, New York",1110,199,87,98,50,65,33,27,27,48,105,95,37,0,60,179,0,36,005,022902,36005022902,2020,434,200,476,1110
"Census Tract 197, Bronx County, New York",2415,389,472,293,59,53,112,215,96,104,134,151,177,30,46,78,6,36,005,019700,36005019700,2020,1213,580,622,2415
"Census Tract 230, Bronx County, New York",1020,133,85,79,11,82,14,14,2,119,70,78,178,35,29,83,8,36,005,023000,36005023000,2020,308,231,481,1020
"Census Tract 231, Bronx County, New York",427,54,20,49,9,39,23,11,23,55,27,68,18,18,13,0,0,36,005,023100,36005023100,2020,132,151,144,427
"Census Tract 232, Bronx County, New York",777,46,64,22,41,38,41,23,6,90,82,49,83,22,94,51,25,36,005,023200,36005023200,2020,173,198,406,777
"Census Tract 233.01, Bronx County, New York",1601,368,159,35,89,109,70,37,29,100,165,133,149,75,0,83,0,36,005,023301,36005023301,2020,651,345,605,1601
"Census Tract 233.02, Bronx County, New York",913,172,81,57,15,27,59,38,74,32,94,74,121,37,11,0,21,36,005,023302,36005023302,2020,325,230,358,913
"Census Tract 235.01, Bronx County, New York",1187,185,108,176,93,19,112,0,51,22,138,182,83,8,10,0,0,36,005,023501,36005023501,2020,562,204,421,1187
"Census Tract 235.02, Bronx County, New York",1486,254,149,111,57,23,128,32,148,13,152,180,92,89,37,0,21,36,005,023502,36005023502,2020,571,344,571,1486
"Census Tract 236, Bronx County, New York",542,132,54,29,8,9,23,14,10,9,24,52,42,47,37,22,30,36,005,023600,36005023600,2020,223,65,254,542
"Census Tract 237.03, Bronx County, New York",1593,490,127,107,77,67,127,36,66,38,22,74,219,76,53,14,0,36,005,023703,36005023703,2020,801,334,458,1593
"Census Tract 237.04, Bronx County, New York",1232,246,81,211,81,49,16,91,81,52,72,146,27,38,41,0,0,36,005,023704,36005023704,2020,619,289,324,1232
"Census Tract 238, Bronx County, New York",756,70,13,0,49,15,46,47,38,23,72,105,59,100,32,67,20,36,005,023800,36005023800,2020,132,169,455,756
"Census Tract 239, Bronx County, New York",2371,279,227,171,232,75,76,104,242,199,125,278,261,102,0,0,0,36,005,023900,36005023900,2020,909,696,766,2371
"Census Tract 240, Bronx County, New York",1290,156,77,120,70,111,48,14,17,62,105,108,38,160,42,90,72,36,005,024000,36005024000,2020,423,252,615,1290
"Census Tract 241, Bronx County, New York",2274,335,386,189,37,49,111,177,174,121,181,256,146,49,14,24,25,36,005,024100,36005024100,2020,947,632,695,2274
"Census Tract 243, Bronx County, New York",1918,376,239,116,184,59,158,24,37,80,166,224,149,69,0,10,27,36,005,024300,36005024300,2020,915,358,645,1918
"Census Tract 244, Bronx County, New York",820,63,42,30,31,38,11,50,16,49,104,100,108,32,29,49,68,36,005,024400,36005024400,2020,166,164,490,820
"Census Tract 245.01, Bronx County, New York",1396,179,251,164,83,61,59,76,66,38,129,83,133,0,24,50,0,36,005,024501,36005024501,2020,677,300,419,1396
"Census Tract 245.02, Bronx County, New York",1203,127,165,66,104,129,51,25,47,0,82,65,114,142,31,47,8,36,005,024502,36005024502,2020,462,252,489,1203
"Census Tract 246, Bronx County, New York",748,61,30,30,22,11,19,11,31,25,53,107,124,58,74,27,65,36,005,024600,36005024600,2020,143,97,508,748
"Census Tract 247, Bronx County, New York",751,29,51,29,29,29,54,33,56,53,34,92,180,28,29,18,7,36,005,024700,36005024700,2020,138,225,388,751
"Census Tract 248, Bronx County, New York",1142,72,40,14,40,43,114,9,55,8,79,97,192,108,146,91,34,36,005,024800,36005024800,2020,166,229,747,1142
"Census Tract 249, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,024900,36005024900,2020,0,0,0,0
"Census Tract 250, Bronx County, New York",983,35,0,23,37,53,15,17,23,57,102,91,156,43,77,143,111,36,005,025000,36005025000,2020,95,165,723,983
"Census Tract 251, Bronx County, New York",2180,99,203,90,117,158,117,183,172,160,87,123,271,263,12,108,17,36,005,025100,36005025100,2020,509,790,881,2180
"Census Tract 252, Bronx County, New York",936,26,23,7,45,42,45,46,20,25,97,115,104,99,48,118,76,36,005,025200,36005025200,2020,101,178,657,936
"Census Tract 253, Bronx County, New York",1877,294,162,137,148,80,45,104,36,109,175,268,167,50,84,18,0,36,005,025300,36005025300,2020,741,374,762,1877
"Census Tract 254, Bronx County, New York",771,48,22,98,27,32,24,27,49,49,44,48,92,51,51,85,24,36,005,025400,36005025400,2020,195,181,395,771
"Census Tract 255, Bronx County, New York",2398,273,226,192,199,73,37,100,92,112,474,135,295,136,12,0,42,36,005,025500,36005025500,2020,890,414,1094,2398
"Census Tract 256, Bronx County, New York",612,0,28,5,134,43,40,5,18,52,59,29,34,71,70,16,8,36,005,025600,36005025600,2020,167,158,287,612
"Census Tract 257, Bronx County, New York",699,97,31,60,18,51,13,65,0,30,88,40,163,9,9,1,24,36,005,025700,36005025700,2020,206,159,334,699
"Census Tract 261, Bronx County, New York",1108,206,31,21,32,70,38,69,30,34,109,104,144,107,11,56,46,36,005,026100,36005026100,2020,290,241,577,1108
"Census Tract 263, Bronx County, New York",2341,545,222,210,28,322,74,66,35,143,158,160,118,73,116,22,49,36,005,026300,36005026300,2020,1005,640,696,2341
"Census Tract 264, Bronx County, New York",1995,67,99,62,34,56,194,277,117,77,161,193,145,138,0,168,207,36,005,026400,36005026400,2020,262,721,1012,1995
"Census Tract 265, Bronx County, New York",2140,166,249,135,178,23,75,59,91,107,249,310,175,105,66,145,7,36,005,026500,36005026500,2020,728,355,1057,2140
"Census Tract 266.01, Bronx County, New York",1363,101,53,27,46,53,52,104,101,86,90,91,228,193,44,41,53,36,005,026601,36005026601,2020,227,396,740,1363
"Census Tract 266.02, Bronx County, New York",2469,132,296,156,54,159,113,31,61,70,280,196,463,255,48,155,0,36,005,026602,36005026602,2020,638,434,1397,2469
"Census Tract 267.01, Bronx County, New York",1281,121,144,98,71,51,61,57,44,36,116,32,261,48,96,27,18,36,005,026701,36005026701,2020,434,249,598,1281
"Census Tract 267.02, Bronx County, New York",2787,367,222,234,229,143,78,142,40,170,227,190,63,93,500,34,55,36,005,026702,36005026702,2020,1052,573,1162,2787
"Census Tract 269, Bronx County, New York",1735,235,476,20,135,108,0,95,80,36,102,162,106,71,37,32,40,36,005,026900,36005026900,2020,866,319,550,1735
"Census Tract 273, Bronx County, New York",2879,359,75,540,99,99,89,103,102,141,207,290,250,166,223,85,51,36,005,027300,36005027300,2020,1073,534,1272,2879
"Census Tract 274.01, Bronx County, New York",1733,7,24,102,198,67,22,39,52,57,76,160,130,249,161,181,208,36,005,027401,36005027401,2020,331,237,1165,1733
"Census Tract 274.02, Bronx County, New York",1265,88,62,38,32,21,13,7,16,71,51,77,182,104,118,237,148,36,005,027402,36005027402,2020,220,128,917,1265
"Census Tract 276, Bronx County, New York",146,93,4,0,0,0,0,45,4,0,0,0,0,0,0,0,0,36,005,027600,36005027600,2020,97,49,0,146
"Census Tract 277, Bronx County, New York",1816,217,233,122,189,149,71,15,13,0,199,227,203,48,27,88,15,36,005,027700,36005027700,2020,761,248,807,1816
"Census Tract 279, Bronx County, New York",2760,48,40,94,257,54,123,215,159,206,183,234,390,403,81,109,164,36,005,027900,36005027900,2020,439,757,1564,2760
"Census Tract 237.02, Bronx County, New York",414,47,30,44,12,21,5,26,15,13,31,29,31,70,23,5,12,36,005,023702,36005023702,2020,133,80,201,414
"Census Tract 281, Bronx County, New York",1746,78,190,102,138,9,31,99,79,83,93,187,160,184,81,161,71,36,005,028100,36005028100,2020,508,301,937,1746
"Census Tract 283, Bronx County, New York",838,118,168,77,49,32,0,0,24,19,65,64,10,110,56,46,0,36,005,028300,36005028300,2020,412,75,351,838
"Census Tract 284, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,028400,36005028400,2020,0,0,0,0
"Census Tract 285, Bronx County, New York",1697,134,109,84,35,25,80,44,19,128,131,211,230,191,78,179,19,36,005,028500,36005028500,2020,362,296,1039,1697
"Census Tract 286, Bronx County, New York",470,41,0,7,4,66,4,0,5,12,12,60,119,85,19,11,25,36,005,028600,36005028600,2020,52,87,331,470
"Census Tract 287, Bronx County, New York",1227,65,84,43,78,2,30,18,80,62,162,76,183,58,147,103,36,36,005,028700,36005028700,2020,270,192,765,1227
"Census Tract 288, Bronx County, New York",1074,34,59,153,14,20,0,2,35,0,43,145,169,122,93,40,145,36,005,028800,36005028800,2020,260,57,757,1074
"Census Tract 289, Bronx County, New York",1824,157,125,152,68,108,58,66,86,111,216,154,133,163,63,75,89,36,005,028900,36005028900,2020,502,429,893,1824
"Census Tract 293.01, Bronx County, New York",861,23,18,17,10,19,31,6,21,25,65,48,102,38,61,110,267,36,005,029301,36005029301,2020,68,102,691,861
"Census Tract 293.02, Bronx County, New York",2666,82,168,95,105,95,58,52,22,0,67,179,305,422,270,356,390,36,005,029302,36005029302,2020,450,227,1989,2666
"Census Tract 295, Bronx County, New York",2115,43,21,40,58,208,35,42,35,19,73,248,376,244,170,267,236,36,005,029500,36005029500,2020,162,339,1614,2115
"Census Tract 296, Bronx County, New York",838,88,46,14,39,0,64,3,6,174,110,55,88,38,67,12,34,36,005,029600,36005029600,2020,187,247,404,838
"Census Tract 297, Bronx County, New York",1793,36,56,119,43,47,36,21,0,151,118,104,276,195,80,307,204,36,005,029700,36005029700,2020,254,255,1284,1793
"Census Tract 300, Bronx County, New York",2505,133,122,256,23,122,86,22,72,16,302,202,327,294,157,107,264,36,005,030000,36005030000,2020,534,318,1653,2505
"Census Tract 301, Bronx County, New York",635,60,31,26,47,7,27,5,21,5,25,69,51,56,56,69,80,36,005,030100,36005030100,2020,164,65,406,635
"Census Tract 302.01, Bronx County, New York",1572,81,63,22,130,52,131,113,119,51,223,85,187,114,78,123,0,36,005,030201,36005030201,2020,296,466,810,1572
"Census Tract 302.02, Bronx County, New York",2456,81,69,43,74,145,306,64,33,83,174,537,573,144,66,49,15,36,005,030202,36005030202,2020,267,631,1558,2456
"Census Tract 307.01, Bronx County, New York",2357,65,42,41,85,15,54,75,53,40,22,141,153,344,119,280,828,36,005,030701,36005030701,2020,233,237,1887,2357
"Census Tract 309, Bronx County, New York",1427,31,36,82,48,17,47,58,179,0,69,107,49,97,132,115,360,36,005,030900,36005030900,2020,197,301,929,1427
"Census Tract 310, Bronx County, New York",1308,66,17,4,38,9,10,0,10,15,146,90,236,258,170,123,116,36,005,031000,36005031000,2020,125,44,1139,1308
"Census Tract 312, Bronx County, New York",560,13,0,13,7,19,20,25,4,13,45,58,75,89,59,58,62,36,005,031200,36005031200,2020,33,81,446,560
"Census Tract 314, Bronx County, New York",632,4,15,6,24,8,33,6,65,23,19,69,90,79,43,106,42,36,005,031400,36005031400,2020,49,135,448,632
"Census Tract 316, Bronx County, New York",684,31,13,49,10,11,4,5,5,36,129,37,100,47,62,82,63,36,005,031600,36005031600,2020,103,61,520,684
"Census Tract 318, Bronx County, New York",565,1,17,35,11,43,0,12,0,9,11,45,51,13,90,84,143,36,005,031800,36005031800,2020,64,64,437,565
"Census Tract 319, Bronx County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,031900,36005031900,2020,0,0,0,0
"Census Tract 323, Bronx County, New York",2592,143,21,121,34,34,81,356,52,0,181,73,391,477,126,360,142,36,005,032300,36005032300,2020,319,523,1750,2592
"Census Tract 324, Bronx County, New York",1189,278,113,139,131,10,51,86,26,54,12,71,102,29,0,37,50,36,005,032400,36005032400,2020,661,227,301,1189
"Census Tract 326, Bronx County, New York",1037,122,22,19,11,33,0,32,0,8,45,93,281,117,72,58,124,36,005,032600,36005032600,2020,174,73,790,1037
"Census Tract 328, Bronx County, New York",1475,146,188,69,69,94,79,74,53,60,154,89,244,51,24,55,26,36,005,032800,36005032800,2020,472,360,643,1475
"Census Tract 330, Bronx County, New York",2132,349,259,65,31,75,69,166,133,131,105,231,193,229,18,70,8,36,005,033000,36005033000,2020,704,574,854,2132
"Census Tract 332.01, Bronx County, New York",2551,223,459,121,338,121,73,87,109,67,163,293,83,236,37,61,80,36,005,033201,36005033201,2020,1141,457,953,2551
"Census Tract 332.02, Bronx County, New York",1645,248,228,12,33,67,80,45,165,11,127,155,157,105,91,80,41,36,005,033202,36005033202,2020,521,368,756,1645
"Census Tract 334, Bronx County, New York",4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,36,005,033400,36005033400,2020,0,0,4,4
"Census Tract 335, Bronx County, New York",703,36,7,29,17,34,4,31,6,8,23,28,95,46,66,153,120,36,005,033500,36005033500,2020,89,83,531,703
"Census Tract 336.01, Bronx County, New York",2123,393,146,46,73,160,54,115,290,245,33,156,159,221,15,0,17,36,005,033601,36005033601,2020,658,864,601,2123
"Census Tract 336.02, Bronx County, New York",676,58,32,92,0,0,61,67,0,0,178,49,19,107,13,0,0,36,005,033602,36005033602,2020,182,128,366,676
"Census Tract 337, Bronx County, New York",934,5,28,12,53,30,31,45,0,14,33,70,132,79,87,104,211,36,005,033700,36005033700,2020,98,120,716,934
"Census Tract 338.01, Bronx County, New York",791,52,0,16,58,38,39,0,10,16,56,173,154,85,67,13,14,36,005,033801,36005033801,2020,126,103,562,791
"Census Tract 338.02, Bronx County, New York",551,11,12,22,54,11,67,81,0,11,103,83,41,33,22,0,0,36,005,033802,36005033802,2020,99,170,282,551
"Census Tract 340, Bronx County, New York",1821,90,60,37,160,85,51,140,98,61,249,261,214,116,71,104,24,36,005,034000,36005034000,2020,347,435,1039,1821
"Census Tract 342, Bronx County, New York",601,40,32,0,22,0,22,24,0,28,40,158,53,45,49,42,46,36,005,034200,36005034200,2020,94,74,433,601
"Census Tract 343, Bronx County, New York",570,0,8,0,32,42,20,20,7,14,46,45,168,72,17,48,31,36,005,034300,36005034300,2020,40,103,427,570
"Census Tract 344, Bronx County, New York",626,47,7,0,33,82,29,16,0,39,51,54,54,68,36,87,23,36,005,034400,36005034400,2020,87,166,373,626
"Census Tract 345, Bronx County, New York",1287,110,43,16,75,21,48,69,0,13,43,108,127,76,188,233,117,36,005,034500,36005034500,2020,244,151,892,1287
"Census Tract 348, Bronx County, New York",2078,390,18,126,162,54,70,167,102,0,209,173,214,118,131,76,68,36,005,034800,36005034800,2020,696,393,989,2078
"Census Tract 350, Bronx County, New York",715,17,13,50,40,6,28,26,61,16,24,113,94,56,37,127,7,36,005,035000,36005035000,2020,120,137,458,715
"Census Tract 351, Bronx County, New York",1267,50,111,33,23,54,43,0,38,10,120,93,219,218,76,33,146,36,005,035100,36005035100,2020,217,145,905,1267
"Census Tract 356, Bronx County, New York",705,63,0,6,3,2,52,29,40,9,14,96,109,56,21,103,102,36,005,035600,36005035600,2020,72,132,501,705
"Census Tract 358, Bronx County, New York",2816,39,107,424,35,160,83,155,97,61,52,334,278,228,144,407,212,36,005,035800,36005035800,2020,605,556,1655,2816
"Census Tract 359, Bronx County, New York",781,99,66,83,114,59,74,31,37,40,40,28,60,30,14,6,0,36,005,035900,36005035900,2020,362,241,178,781
"Census Tract 360, Bronx County, New York",943,36,5,46,0,32,46,80,18,36,21,99,159,95,73,83,114,36,005,036000,36005036000,2020,87,212,644,943
"Census Tract 361, Bronx County, New York",2071,638,277,118,123,109,79,146,49,20,134,78,67,13,57,35,128,36,005,036100,36005036100,2020,1156,403,512,2071
"Census Tract 363, Bronx County, New York",2369,439,399,111,361,85,45,100,0,0,172,206,224,147,18,62,0,36,005,036300,36005036300,2020,1310,230,829,2369
"Census Tract 364, Bronx County, New York",868,55,35,7,84,29,117,25,18,22,40,46,108,120,81,51,30,36,005,036400,36005036400,2020,181,211,476,868
"Census Tract 365.01, Bronx County, New York",1371,120,183,93,39,133,84,123,103,31,73,113,132,74,70,0,0,36,005,036501,36005036501,2020,435,474,462,1371
"Census Tract 365.02, Bronx County, New York",758,94,98,97,57,39,45,41,13,7,101,21,58,47,19,0,21,36,005,036502,36005036502,2020,346,145,267,758
"Census Tract 367, Bronx County, New York",632,68,128,45,18,60,63,26,0,8,0,70,80,37,0,23,6,36,005,036700,36005036700,2020,259,157,216,632
"Census Tract 368, Bronx County, New York",570,55,26,4,54,21,23,32,20,0,29,36,64,33,39,64,70,36,005,036800,36005036800,2020,139,96,335,570
"Census Tract 369.01, Bronx County, New York",766,155,155,72,45,20,115,56,0,13,19,44,14,40,6,12,0,36,005,036901,36005036901,2020,427,204,135,766
"Census Tract 369.02, Bronx County, New York",779,222,135,117,13,31,5,7,38,44,45,34,28,21,39,0,0,36,005,036902,36005036902,2020,487,125,167,779
"Census Tract 370, Bronx County, New York",700,42,8,37,6,33,21,10,26,59,36,86,94,57,63,53,69,36,005,037000,36005037000,2020,93,149,458,700
"Census Tract 371, Bronx County, New York",1795,214,445,128,190,41,64,42,19,78,78,283,46,91,19,32,25,36,005,037100,36005037100,2020,977,244,574,1795
"Census Tract 372, Bronx County, New York",829,44,56,63,19,57,53,55,52,29,20,111,102,66,65,8,29,36,005,037200,36005037200,2020,182,246,401,829
"Census Tract 373, Bronx County, New York",1899,378,269,257,35,45,65,20,99,106,78,161,111,135,14,103,23,36,005,037300,36005037300,2020,939,335,625,1899
"Census Tract 374, Bronx County, New York",1494,265,123,125,107,98,56,208,34,19,110,178,84,44,29,9,5,36,005,037400,36005037400,2020,620,415,459,1494
"Census Tract 375.04, Bronx County, New York",1220,269,103,107,130,85,48,129,78,46,49,72,31,23,25,25,0,36,005,037504,36005037504,2020,609,386,225,1220
"Census Tract 376, Bronx County, New York",775,110,41,11,43,1,31,35,16,47,31,121,75,54,115,4,40,36,005,037600,36005037600,2020,205,130,440,775
"Census Tract 378, Bronx County, New York",1070,122,91,9,102,74,41,61,78,30,67,125,147,64,0,30,29,36,005,037800,36005037800,2020,324,284,462,1070
"Census Tract 379, Bronx County, New York",1514,202,208,112,177,62,129,27,77,38,25,207,108,83,25,34,0,36,005,037900,36005037900,2020,699,333,482,1514
"Census Tract 380, Bronx County, New York",1975,318,119,237,100,72,99,191,54,36,164,143,208,106,50,78,0,36,005,038000,36005038000,2020,774,452,749,1975
"Census Tract 381, Bronx County, New York",2513,277,165,75,128,152,273,138,77,278,280,183,201,195,17,0,74,36,005,038100,36005038100,2020,645,918,950,2513
"Census Tract 382, Bronx County, New York",971,61,29,96,161,81,20,10,49,20,55,58,132,50,32,59,58,36,005,038200,36005038200,2020,347,180,444,971
"Census Tract 383.01, Bronx County, New York",1641,239,116,54,30,183,14,57,125,113,130,137,202,111,94,36,0,36,005,038301,36005038301,2020,439,492,710,1641
"Census Tract 383.03, Bronx County, New York",1282,228,264,149,122,64,53,5,65,75,20,44,51,68,0,74,0,36,005,038303,36005038303,2020,763,262,257,1282
"Census Tract 383.04, Bronx County, New York",795,388,53,13,80,47,69,32,18,9,32,0,54,0,0,0,0,36,005,038304,36005038304,2020,534,175,86,795
"Census Tract 385, Bronx County, New York",1635,382,271,90,137,105,57,72,52,163,53,101,86,0,33,0,33,36,005,038500,36005038500,2020,880,449,306,1635
"Census Tract 386, Bronx County, New York",2834,25,281,105,118,302,195,48,58,55,206,390,277,473,138,72,91,36,005,038600,36005038600,2020,529,658,1647,2834
"Census Tract 387, Bronx County, New York",1259,144,92,71,56,27,143,110,102,40,160,166,66,60,12,0,10,36,005,038700,36005038700,2020,363,422,474,1259
"Census Tract 388, Bronx County, New York",925,73,32,18,36,33,8,29,72,17,57,144,180,99,35,23,69,36,005,038800,36005038800,2020,159,159,607,925
"Census Tract 389, Bronx County, New York",1821,456,122,89,59,87,43,148,107,148,143,152,135,105,27,0,0,36,005,038900,36005038900,2020,726,533,562,1821
"Census Tract 390, Bronx County, New York",1093,129,30,30,17,86,66,22,105,102,48,75,102,148,100,26,7,36,005,039000,36005039000,2020,206,381,506,1093
"Census Tract 391, Bronx County, New York",2756,248,542,235,194,128,127,0,83,97,296,204,262,82,38,156,64,36,005,039100,36005039100,2020,1219,435,1102,2756
"Census Tract 392, Bronx County, New York",635,57,12,23,18,40,38,60,36,0,75,82,57,16,18,28,75,36,005,039200,36005039200,2020,110,174,351,635
"Census Tract 393, Bronx County, New York",3057,637,534,303,142,151,125,51,221,31,100,178,340,180,0,42,22,36,005,039300,36005039300,2020,1616,579,862,3057
"Census Tract 394, Bronx County, New York",1677,163,60,110,153,0,111,11,62,68,150,181,243,155,107,78,25,36,005,039400,36005039400,2020,486,252,939,1677
"Census Tract 395, Bronx County, New York",1592,435,223,72,66,69,41,68,100,42,77,141,133,63,38,15,9,36,005,039500,36005039500,2020,796,320,476,1592
"Census Tract 396, Bronx County, New York",1381,111,148,139,7,29,141,99,82,99,45,137,74,93,109,60,8,36,005,039600,36005039600,2020,405,450,526,1381
"Census Tract 397, Bronx County, New York",548,112,51,42,37,19,33,50,17,78,14,36,32,27,0,0,0,36,005,039700,36005039700,2020,242,197,109,548
"Census Tract 398, Bronx County, New York",1209,116,77,153,33,29,57,23,10,34,147,55,186,62,79,29,119,36,005,039800,36005039800,2020,379,153,677,1209
"Census Tract 399.01, Bronx County, New York",1705,195,226,154,68,73,39,176,46,81,190,186,211,40,8,12,0,36,005,039901,36005039901,2020,643,415,647,1705
"Census Tract 399.02, Bronx County, New York",1701,253,145,58,50,52,111,63,182,162,198,128,141,61,59,38,0,36,005,039902,36005039902,2020,506,570,625,1701
"Census Tract 401, Bronx County, New York",1832,314,167,116,214,238,46,122,81,42,155,66,154,26,81,10,0,36,005,040100,36005040100,2020,811,529,492,1832
"Census Tract 403.02, Bronx County, New York",1580,192,311,106,32,58,97,125,104,60,172,25,152,68,78,0,0,36,005,040302,36005040302,2020,641,444,495,1580
