NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 199, Bronx County, New York",3145,506,248,176,498,79,139,107,154,73,257,255,322,87,193,18,33,36,005,019900,36005019900,2020,1428,552,1165,3145
"Census Tract 200, Bronx County, New York",1466,160,92,66,172,38,74,111,109,68,80,91,150,50,53,70,82,36,005,020000,36005020000,2020,490,400,576,1466
"Census Tract 201, Bronx County, New York",1288,170,40,123,27,53,95,67,232,109,119,79,89,31,0,21,33,36,005,020100,36005020100,2020,360,556,372,1288
"Census Tract 202, Bronx County, New York",875,68,75,78,71,49,22,55,45,29,47,125,113,48,17,17,16,36,005,020200,36005020200,2020,292,200,383,875
"Census Tract 204, Bronx County, New York",994,74,64,40,20,52,11,35,23,45,129,125,142,99,56,53,26,36,005,020400,36005020400,2020,198,166,630,994
"Census Tract 205.01, Bronx County, New York",2697,739,391,216,177,68,165,97,46,11,102,252,229,131,0,73,0,36,005,020501,36005020501,2020,1523,387,787,2697
"Census Tract 205.02, Bronx County, New York",995,287,97,61,78,46,0,31,64,0,43,42,33,100,57,38,18,36,005,020502,36005020502,2020,523,141,331,995
"Census Tract 206.01, Bronx County, New York",864,122,82,40,28,85,28,11,0,78,88,53,88,94,16,28,23,36,005,020601,36005020601,2020,272,202,390,864
"Census Tract 209, Bronx County, New York",1848,371,112,137,114,74,75,44,145,93,143,200,193,101,34,12,0,36,005,020900,36005020900,2020,734,431,683,1848
"Census Tract 210.01, Bronx County, New York",3666,423,153,249,98,57,196,67,185,116,316,359,376,620,166,117,168,36,005,021001,36005021001,2020,923,621,2122,3666
"Census Tract 210.02, Bronx County, New York",3263,261,166,114,149,31,68,192,34,167,452,319,381,641,113,143,32,36,005,021002,36005021002,2020,690,492,2081,3263
"Census Tract 211, Bronx County, New York",1803,286,194,106,23,203,190,110,212,69,89,66,81,109,28,28,9,36,005,021100,36005021100,2020,609,784,410,1803
"Census Tract 212, Bronx County, New York",2323,109,142,149,105,51,100,103,80,106,176,265,233,568,74,45,17,36,005,021200,36005021200,2020,505,440,1378,2323
"Census Tract 213.01, Bronx County, New York",409,26,24,44,63,39,14,0,9,13,49,49,37,10,24,8,0,36,005,021301,36005021301,2020,157,75,177,409
"Census Tract 213.02, Bronx County, New York",2406,490,476,261,159,121,428,63,32,60,31,85,118,82,0,0,0,36,005,021302,36005021302,2020,1386,704,316,2406
"Census Tract 215.01, Bronx County, New York",1319,103,131,125,95,93,26,89,23,64,128,54,68,99,83,25,113,36,005,021501,36005021501,2020,454,295,570,1319
