GEOID,NAME,B11001_001E,source,year
36005011502,"Census Tract 115.02, Bronx, NY",1513.0,censusreporter:acs2024_5yr,2024
36005011701,"Census Tract 117.01, Bronx, NY",474.0,censusreporter:acs2024_5yr,2024
36005011702,"Census Tract 117.02, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005011800,"Census Tract 118, Bronx, NY",1517.0,censusreporter:acs2024_5yr,2024
36005011900,"Census Tract 119, Bronx, NY",1875.0,censusreporter:acs2024_5yr,2024
36005012101,"Census Tract 121.01, Bronx, NY",1057.0,censusreporter:acs2024_5yr,2024
36005012102,"Census Tract 121.02, Bronx, NY",572.0,censusreporter:acs2024_5yr,2024
36005012300,"Census Tract 123, Bronx, NY",1772.0,censusreporter:acs2024_5yr,2024
36005012500,"Census Tract 125, Bronx, NY",1449.0,censusreporter:acs2024_5yr,2024
36005012701,"Census Tract 127.01, Bronx, NY",745.0,censusreporter:acs2024_5yr,2024
36005012901,"Census Tract 129.01, Bronx, NY",1744.0,censusreporter:acs2024_5yr,2024
36005013000,"Census Tract 130, Bronx, NY",472.0,censusreporter:acs2024_5yr,2024
36005013100,"Census Tract 131, Bronx, NY",2225.0,censusreporter:acs2024_5yr,2024
36005013200,"Census Tract 132, Bronx, NY",2605.0,censusreporter:acs2024_5yr,2024
36005013300,"Census Tract 133, Bronx, NY",2269.0,censusreporter:acs2024_5yr,2024
36005013500,"Census Tract 135, Bronx, NY",1534.0,censusreporter:acs2024_5yr,2024
36005013800,"Census Tract 138, Bronx, NY",1255.0,censusreporter:acs2024_5yr,2024
36005014100,"Census Tract 141, Bronx, NY",3034.0,censusreporter:acs2024_5yr,2024
36005014300,"Census Tract 143, Bronx, NY",743.0,censusreporter:acs2024_5yr,2024
36005014400,"Census Tract 144, Bronx, NY",2428.0,censusreporter:acs2024_5yr,2024
36005014500,"Census Tract 145, Bronx, NY",2433.0,censusreporter:acs2024_5yr,2024
36005014701,"Census Tract 147.01, Bronx, NY",2009.0,censusreporter:acs2024_5yr,2024
36005014702,"Census Tract 147.02, Bronx, NY",1924.0,censusreporter:acs2024_5yr,2024
36005014900,"Census Tract 149, Bronx, NY",1546.0,censusreporter:acs2024_5yr,2024
36005015100,"Census Tract 151, Bronx, NY",2117.0,censusreporter:acs2024_5yr,2024
36005015200,"Census Tract 152, Bronx, NY",986.0,censusreporter:acs2024_5yr,2024
36005015300,"Census Tract 153, Bronx, NY",1781.0,censusreporter:acs2024_5yr,2024
36005015500,"Census Tract 155, Bronx, NY",1064.0,censusreporter:acs2024_5yr,2024
36005015700,"Census Tract 157, Bronx, NY",2321.0,censusreporter:acs2024_5yr,2024
36005015800,"Census Tract 158, Bronx, NY",534.0,censusreporter:acs2024_5yr,2024
36005015900,"Census Tract 159, Bronx, NY",1023.0,censusreporter:acs2024_5yr,2024
36005016000,"Census Tract 160, Bronx, NY",1521.0,censusreporter:acs2024_5yr,2024
36005016100,"Census Tract 161, Bronx, NY",2224.0,censusreporter:acs2024_5yr,2024
36005016200,"Census Tract 162, Bronx, NY",509.0,censusreporter:acs2024_5yr,2024
36005016300,"Census Tract 163, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005016400,"Census Tract 164, Bronx, NY",392.0,censusreporter:acs2024_5yr,2024
36005016500,"Census Tract 165, Bronx, NY",376.0,censusreporter:acs2024_5yr,2024
36005016600,"Census Tract 166, Bronx, NY",802.0,censusreporter:acs2024_5yr,2024
36005016700,"Census Tract 167, Bronx, NY",1154.0,censusreporter:acs2024_5yr,2024
36005016900,"Census Tract 169, Bronx, NY",607.0,censusreporter:acs2024_5yr,2024
36005017100,"Census Tract 171, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005017300,"Census Tract 173, Bronx, NY",2276.0,censusreporter:acs2024_5yr,2024
36005017500,"Census Tract 175, Bronx, NY",2975.0,censusreporter:acs2024_5yr,2024
36005017701,"Census Tract 177.01, Bronx, NY",1462.0,censusreporter:acs2024_5yr,2024
36005017702,"Census Tract 177.02, Bronx, NY",1675.0,censusreporter:acs2024_5yr,2024
36005017901,"Census Tract 179.01, Bronx, NY",1688.0,censusreporter:acs2024_5yr,2024
36005017902,"Census Tract 179.02, Bronx, NY",1216.0,censusreporter:acs2024_5yr,2024
36005018101,"Census Tract 181.01, Bronx, NY",1084.0,censusreporter:acs2024_5yr,2024
36005018102,"Census Tract 181.02, Bronx, NY",2150.0,censusreporter:acs2024_5yr,2024
36005018301,"Census Tract 183.01, Bronx, NY",1934.0,censusreporter:acs2024_5yr,2024
36005018302,"Census Tract 183.02, Bronx, NY",1452.0,censusreporter:acs2024_5yr,2024
36005018400,"Census Tract 184, Bronx, NY",1340.0,censusreporter:acs2024_5yr,2024
36005018501,"Census Tract 185.01, Bronx, NY",1466.0,censusreporter:acs2024_5yr,2024
36005018502,"Census Tract 185.02, Bronx, NY",2106.0,censusreporter:acs2024_5yr,2024
36005018900,"Census Tract 189, Bronx, NY",3050.0,censusreporter:acs2024_5yr,2024
36005019300,"Census Tract 193, Bronx, NY",2519.0,censusreporter:acs2024_5yr,2024
36005019400,"Census Tract 194, Bronx, NY",696.0,censusreporter:acs2024_5yr,2024
36005019500,"Census Tract 195, Bronx, NY",2703.0,censusreporter:acs2024_5yr,2024
36005019700,"Census Tract 197, Bronx, NY",2528.0,censusreporter:acs2024_5yr,2024
36005019900,"Census Tract 199, Bronx, NY",3185.0,censusreporter:acs2024_5yr,2024
36005020000,"Census Tract 200, Bronx, NY",1430.0,censusreporter:acs2024_5yr,2024
36005020100,"Census Tract 201, Bronx, NY",1406.0,censusreporter:acs2024_5yr,2024
36005020200,"Census Tract 202, Bronx, NY",975.0,censusreporter:acs2024_5yr,2024
36005020400,"Census Tract 204, Bronx, NY",988.0,censusreporter:acs2024_5yr,2024
36005020501,"Census Tract 205.01, Bronx, NY",2681.0,censusreporter:acs2024_5yr,2024
36005020502,"Census Tract 205.02, Bronx, NY",1040.0,censusreporter:acs2024_5yr,2024
36005020601,"Census Tract 206.01, Bronx, NY",937.0,censusreporter:acs2024_5yr,2024
36005020900,"Census Tract 209, Bronx, NY",1944.0,censusreporter:acs2024_5yr,2024
36005021001,"Census Tract 210.01, Bronx, NY",3563.0,censusreporter:acs2024_5yr,2024
36005021002,"Census Tract 210.02, Bronx, NY",3158.0,censusreporter:acs2024_5yr,2024
36005021100,"Census Tract 211, Bronx, NY",2002.0,censusreporter:acs2024_5yr,2024
36005021200,"Census Tract 212, Bronx, NY",2325.0,censusreporter:acs2024_5yr,2024
36005021301,"Census Tract 213.01, Bronx, NY",447.0,censusreporter:acs2024_5yr,2024
36005021302,"Census Tract 213.02, Bronx, NY",2324.0,censusreporter:acs2024_5yr,2024
36005021501,"Census Tract 215.01, Bronx, NY",1348.0,censusreporter:acs2024_5yr,2024
36005021502,"Census Tract 215.02, Bronx, NY",2322.0,censusreporter:acs2024_5yr,2024
36005021601,"Census Tract 216.01, Bronx, NY",1582.0,censusreporter:acs2024_5yr,2024
36005021602,"Census Tract 216.02, Bronx, NY",2345.0,censusreporter:acs2024_5yr,2024
36005021700,"Census Tract 217, Bronx, NY",1939.0,censusreporter:acs2024_5yr,2024
36005021800,"Census Tract 218, Bronx, NY",2329.0,censusreporter:acs2024_5yr,2024
36005021900,"Census Tract 219, Bronx, NY",489.0,censusreporter:acs2024_5yr,2024
36005022000,"Census Tract 220, Bronx, NY",650.0,censusreporter:acs2024_5yr,2024
36005022101,"Census Tract 221.01, Bronx, NY",1339.0,censusreporter:acs2024_5yr,2024
36005022102,"Census Tract 221.02, Bronx, NY",1681.0,censusreporter:acs2024_5yr,2024
36005022200,"Census Tract 222, Bronx, NY",1089.0,censusreporter:acs2024_5yr,2024
