NAME,B11001_001E,state,county,tract,GEOID,year
"Census Tract 141, Bronx County, New York",2599,36,005,014100,36005014100,2021
"Census Tract 143, Bronx County, New York",675,36,005,014300,36005014300,2021
"Census Tract 144, Bronx County, New York",2422,36,005,014400,36005014400,2021
"Census Tract 145, Bronx County, New York",2418,36,005,014500,36005014500,2021
"Census Tract 147.01, Bronx County, New York",2026,36,005,014701,36005014701,2021
"Census Tract 147.02, Bronx County, New York",1933,36,005,014702,36005014702,2021
"Census Tract 149, Bronx County, New York",1442,36,005,014900,36005014900,2021
"Census Tract 151, Bronx County, New York",2124,36,005,015100,36005015100,2021
"Census Tract 152, Bronx County, New York",953,36,005,015200,36005015200,2021
"Census Tract 153, Bronx County, New York",1741,36,005,015300,36005015300,2021
"Census Tract 155, Bronx County, New York",1089,36,005,015500,36005015500,2021
"Census Tract 157, Bronx County, New York",1906,36,005,015700,36005015700,2021
"Census Tract 158, Bronx County, New York",476,36,005,015800,36005015800,2021
"Census Tract 159, Bronx County, New York",816,36,005,015900,36005015900,2021
"Census Tract 160, Bronx County, New York",1493,36,005,016000,36005016000,2021
"Census Tract 161, Bronx County, New York",2004,36,005,016100,36005016100,2021
"Census Tract 162, Bronx County, New York",510,36,005,016200,36005016200,2021
"Census Tract 163, Bronx County, New York",0,36,005,016300,36005016300,2021
"Census Tract 164, Bronx County, New York",399,36,005,016400,36005016400,2021
"Census Tract 165, Bronx County, New York",319,36,005,016500,36005016500,2021
"Census Tract 166, Bronx County, New York",809,36,005,016600,36005016600,2021
"Census Tract 167, Bronx County, New York",1150,36,005,016700,36005016700,2021
"Census Tract 169, Bronx County, New York",554,36,005,016900,36005016900,2021
"Census Tract 171, Bronx County, New York",0,36,005,017100,36005017100,2021
"Census Tract 173, Bronx County, New York",2169,36,005,017300,36005017300,2021
"Census Tract 175, Bronx County, New York",2845,36,005,017500,36005017500,2021
"Census Tract 177.01, Bronx County, New York",1352,36,005,017701,36005017701,2021
"Census Tract 177.02, Bronx County, New York",1676,36,005,017702,36005017702,2021
"Census Tract 179.01, Bronx County, New York",1619,36,005,017901,36005017901,2021
"Census Tract 179.02, Bronx County, New York",1305,36,005,017902,36005017902,2021
"Census Tract 181.01, Bronx County, New York",1064,36,005,018101,36005018101,2021
"Census Tract 181.02, Bronx County, New York",2177,36,005,018102,36005018102,2021
"Census Tract 183.01, Bronx County, New York",2072,36,005,018301,36005018301,2021
"Census Tract 183.02, Bronx County, New York",1411,36,005,018302,36005018302,2021
"Census Tract 184, Bronx County, New York",1430,36,005,018400,36005018400,2021
"Census Tract 185.01, Bronx County, New York",1136,36,005,018501,36005018501,2021
"Census Tract 185.02, Bronx County, New York",2038,36,005,018502,36005018502,2021
"Census Tract 189, Bronx County, New York",2836,36,005,018900,36005018900,2021
"Census Tract 193, Bronx County, New York",2402,36,005,019300,36005019300,2021
"Census Tract 194, Bronx County, New York",764,36,005,019400,36005019400,2021
"Census Tract 195, Bronx County, New York",2623,36,005,019500,36005019500,2021
"Census Tract 197, Bronx County, New York",2446,36,005,019700,36005019700,2021
"Census Tract 199, Bronx County, New York",3256,36,005,019900,36005019900,2021
"Census Tract 200, Bronx County, New York",1454,36,005,020000,36005020000,2021
"Census Tract 201, Bronx County, New York",1310,36,005,020100,36005020100,2021
"Census Tract 202, Bronx County, New York",946,36,005,020200,36005020200,2021
"Census Tract 204, Bronx County, New York",1043,36,005,020400,36005020400,2021
"Census Tract 205.01, Bronx County, New York",2663,36,005,020501,36005020501,2021
"Census Tract 205.02, Bronx County, New York",1008,36,005,020502,36005020502,2021
"Census Tract 206.01, Bronx County, New York",950,36,005,020601,36005020601,2021
"Census Tract 209, Bronx County, New York",1947,36,005,020900,36005020900,2021
"Census Tract 210.01, Bronx County, New York",3670,36,005,021001,36005021001,2021
"Census Tract 210.02, Bronx County, New York",3278,36,005,021002,36005021002,2021
"Census Tract 211, Bronx County, New York",1971,36,005,021100,36005021100,2021
"Census Tract 212, Bronx County, New York",2349,36,005,021200,36005021200,2021
"Census Tract 213.01, Bronx County, New York",452,36,005,021301,36005021301,2021
"Census Tract 213.02, Bronx County, New York",2276,36,005,021302,36005021302,2021
"Census Tract 215.01, Bronx County, New York",1324,36,005,021501,36005021501,2021
"Census Tract 215.02, Bronx County, New York",2165,36,005,021502,36005021502,2021
"Census Tract 216.01, Bronx County, New York",1613,36,005,021601,36005021601,2021
"Census Tract 216.02, Bronx County, New York",2393,36,005,021602,36005021602,2021
"Census Tract 217, Bronx County, New York",1687,36,005,021700,36005021700,2021
"Census Tract 218, Bronx County, New York",2230,36,005,021800,36005021800,2021
"Census Tract 219, Bronx County, New York",381,36,005,021900,36005021900,2021
"Census Tract 220, Bronx County, New York",651,36,005,022000,36005022000,2021
"Census Tract 221.01, Bronx County, New York",1266,36,005,022101,36005022101,2021
"Census Tract 221.02, Bronx County, New York",1662,36,005,022102,36005022102,2021
"Census Tract 222, Bronx County, New York",1041,36,005,022200,36005022200,2021
"Census Tract 223, Bronx County, New York",2182,36,005,022300,36005022300,2021
"Census Tract 224.01, Bronx County, New York",1023,36,005,022401,36005022401,2021
"Census Tract 224.03, Bronx County, New York",1212,36,005,022403,36005022403,2021
"Census Tract 224.04, Bronx County, New York",1977,36,005,022404,36005022404,2021
"Census Tract 225, Bronx County, New York",2322,36,005,022500,36005022500,2021
"Census Tract 227.01, Bronx County, New York",1986,36,005,022701,36005022701,2021
"Census Tract 227.02, Bronx County, New York",560,36,005,022702,36005022702,2021
"Census Tract 227.03, Bronx County, New York",690,36,005,022703,36005022703,2021
"Census Tract 228, Bronx County, New York",2433,36,005,022800,36005022800,2021
"Census Tract 229.01, Bronx County, New York",1988,36,005,022901,36005022901,2021
"Census Tract 229.02, Bronx County, New York",1132,36,005,022902,36005022902,2021
"Census Tract 230, Bronx County, New York",1039,36,005,023000,36005023000,2021
"Census Tract 231, Bronx County, New York",432,36,005,023100,36005023100,2021
"Census Tract 232, Bronx County, New York",801,36,005,023200,36005023200,2021
"Census Tract 233.01, Bronx County, New York",1649,36,005,023301,36005023301,2021
"Census Tract 233.02, Bronx County, New York",1016,36,005,023302,36005023302,2021
"Census Tract 235.01, Bronx County, New York",1230,36,005,023501,36005023501,2021
"Census Tract 235.02, Bronx County, New York",1566,36,005,023502,36005023502,2021
"Census Tract 236, Bronx County, New York",516,36,005,023600,36005023600,2021
"Census Tract 237.02, Bronx County, New York",375,36,005,023702,36005023702,2021
"Census Tract 237.03, Bronx County, New York",1765,36,005,023703,36005023703,2021
"Census Tract 237.04, Bronx County, New York",1343,36,005,023704,36005023704,2021
"Census Tract 238, Bronx County, New York",749,36,005,023800,36005023800,2021
"Census Tract 239, Bronx County, New York",2492,36,005,023900,36005023900,2021
"Census Tract 240, Bronx County, New York",1348,36,005,024000,36005024000,2021
"Census Tract 241, Bronx County, New York",2397,36,005,024100,36005024100,2021
"Census Tract 243, Bronx County, New York",1993,36,005,024300,36005024300,2021
"Census Tract 244, Bronx County, New York",877,36,005,024400,36005024400,2021
"Census Tract 245.01, Bronx County, New York",1428,36,005,024501,36005024501,2021
"Census Tract 245.02, Bronx County, New York",1246,36,005,024502,36005024502,2021
"Census Tract 246, Bronx County, New York",756,36,005,024600,36005024600,2021
"Census Tract 247, Bronx County, New York",754,36,005,024700,36005024700,2021
"Census Tract 248, Bronx County, New York",1161,36,005,024800,36005024800,2021
"Census Tract 249, Bronx County, New York",0,36,005,024900,36005024900,2021
"Census Tract 250, Bronx County, New York",1020,36,005,025000,36005025000,2021
"Census Tract 251, Bronx County, New York",2233,36,005,025100,36005025100,2021
"Census Tract 252, Bronx County, New York",904,36,005,025200,36005025200,2021
"Census Tract 253, Bronx County, New York",1884,36,005,025300,36005025300,2021
"Census Tract 254, Bronx County, New York",793,36,005,025400,36005025400,2021
"Census Tract 255, Bronx County, New York",2377,36,005,025500,36005025500,2021
"Census Tract 256, Bronx County, New York",577,36,005,025600,36005025600,2021
"Census Tract 257, Bronx County, New York",707,36,005,025700,36005025700,2021
"Census Tract 261, Bronx County, New York",1081,36,005,026100,36005026100,2021
"Census Tract 263, Bronx County, New York",2282,36,005,026300,36005026300,2021
"Census Tract 264, Bronx County, New York",2056,36,005,026400,36005026400,2021
"Census Tract 265, Bronx County, New York",2214,36,005,026500,36005026500,2021
"Census Tract 266.01, Bronx County, New York",1366,36,005,026601,36005026601,2021
"Census Tract 266.02, Bronx County, New York",2498,36,005,026602,36005026602,2021
"Census Tract 267.01, Bronx County, New York",1231,36,005,026701,36005026701,2021
"Census Tract 267.02, Bronx County, New York",2701,36,005,026702,36005026702,2021
"Census Tract 269, Bronx County, New York",1807,36,005,026900,36005026900,2021
"Census Tract 273, Bronx County, New York",2881,36,005,027300,36005027300,2021
"Census Tract 274.01, Bronx County, New York",1768,36,005,027401,36005027401,2021
"Census Tract 274.02, Bronx County, New York",1290,36,005,027402,36005027402,2021
"Census Tract 276, Bronx County, New York",23,36,005,027600,36005027600,2021
"Census Tract 277, Bronx County, New York",1826,36,005,027700,36005027700,2021
"Census Tract 279, Bronx County, New York",3017,36,005,027900,36005027900,2021
"Census Tract 281, Bronx County, New York",1758,36,005,028100,36005028100,2021
"Census Tract 283, Bronx County, New York",1058,36,005,028300,36005028300,2021
"Census Tract 284, Bronx County, New York",0,36,005,028400,36005028400,2021
"Census Tract 285, Bronx County, New York",1788,36,005,028500,36005028500,2021
"Census Tract 286, Bronx County, New York",480,36,005,028600,36005028600,2021
"Census Tract 287, Bronx County, New York",1275,36,005,028700,36005028700,2021
"Census Tract 288, Bronx County, New York",1082,36,005,028800,36005028800,2021
"Census Tract 289, Bronx County, New York",1871,36,005,028900,36005028900,2021
"Census Tract 293.01, Bronx County, New York",894,36,005,029301,36005029301,2021
"Census Tract 293.02, Bronx County, New York",2676,36,005,029302,36005029302,2021
"Census Tract 295, Bronx County, New York",2138,36,005,029500,36005029500,2021
"Census Tract 296, Bronx County, New York",844,36,005,029600,36005029600,2021
"Census Tract 297, Bronx County, New York",1830,36,005,029700,36005029700,2021
"Census Tract 300, Bronx County, New York",2490,36,005,030000,36005030000,2021
"Census Tract 301, Bronx County, New York",675,36,005,030100,36005030100,2021
"Census Tract 302.01, Bronx County, New York",1599,36,005,030201,36005030201,2021
"Census Tract 302.02, Bronx County, New York",2454,36,005,030202,36005030202,2021
"Census Tract 307.01, Bronx County, New York",2392,36,005,030701,36005030701,2021
"Census Tract 309, Bronx County, New York",1423,36,005,030900,36005030900,2021
"Census Tract 310, Bronx County, New York",1287,36,005,031000,36005031000,2021
"Census Tract 312, Bronx County, New York",602,36,005,031200,36005031200,2021
"Census Tract 314, Bronx County, New York",647,36,005,031400,36005031400,2021
"Census Tract 316, Bronx County, New York",674,36,005,031600,36005031600,2021
"Census Tract 318, Bronx County, New York",569,36,005,031800,36005031800,2021
"Census Tract 319, Bronx County, New York",0,36,005,031900,36005031900,2021
"Census Tract 323, Bronx County, New York",2761,36,005,032300,36005032300,2021
"Census Tract 324, Bronx County, New York",1303,36,005,032400,36005032400,2021
"Census Tract 326, Bronx County, New York",1052,36,005,032600,36005032600,2021
"Census Tract 328, Bronx County, New York",1480,36,005,032800,36005032800,2021
"Census Tract 330, Bronx County, New York",2240,36,005,033000,36005033000,2021
"Census Tract 332.01, Bronx County, New York",2523,36,005,033201,36005033201,2021
"Census Tract 332.02, Bronx County, New York",1642,36,005,033202,36005033202,2021
"Census Tract 334, Bronx County, New York",5,36,005,033400,36005033400,2021
"Census Tract 335, Bronx County, New York",727,36,005,033500,36005033500,2021
"Census Tract 336.01, Bronx County, New York",2131,36,005,033601,36005033601,2021
"Census Tract 336.02, Bronx County, New York",582,36,005,033602,36005033602,2021
"Census Tract 337, Bronx County, New York",934,36,005,033700,36005033700,2021
"Census Tract 338.01, Bronx County, New York",938,36,005,033801,36005033801,2021
"Census Tract 338.02, Bronx County, New York",575,36,005,033802,36005033802,2021
"Census Tract 340, Bronx County, New York",1835,36,005,034000,36005034000,2021
"Census Tract 342, Bronx County, New York",613,36,005,034200,36005034200,2021
"Census Tract 343, Bronx County, New York",602,36,005,034300,36005034300,2021
"Census Tract 344, Bronx County, New York",615,36,005,034400,36005034400,2021
"Census Tract 345, Bronx County, New York",1436,36,005,034500,36005034500,2021
"Census Tract 348, Bronx County, New York",2075,36,005,034800,36005034800,2021
"Census Tract 350, Bronx County, New York",733,36,005,035000,36005035000,2021
"Census Tract 351, Bronx County, New York",1306,36,005,035100,36005035100,2021
"Census Tract 356, Bronx County, New York",699,36,005,035600,36005035600,2021
"Census Tract 358, Bronx County, New York",2783,36,005,035800,36005035800,2021
"Census Tract 359, Bronx County, New York",925,36,005,035900,36005035900,2021
"Census Tract 360, Bronx County, New York",955,36,005,036000,36005036000,2021
"Census Tract 361, Bronx County, New York",2136,36,005,036100,36005036100,2021
"Census Tract 363, Bronx County, New York",2545,36,005,036300,36005036300,2021
"Census Tract 364, Bronx County, New York",844,36,005,036400,36005036400,2021
"Census Tract 365.01, Bronx County, New York",1396,36,005,036501,36005036501,2021
"Census Tract 365.02, Bronx County, New York",774,36,005,036502,36005036502,2021
"Census Tract 367, Bronx County, New York",646,36,005,036700,36005036700,2021
"Census Tract 368, Bronx County, New York",615,36,005,036800,36005036800,2021
"Census Tract 369.01, Bronx County, New York",768,36,005,036901,36005036901,2021
"Census Tract 369.02, Bronx County, New York",813,36,005,036902,36005036902,2021
"Census Tract 370, Bronx County, New York",689,36,005,037000,36005037000,2021
"Census Tract 371, Bronx County, New York",1683,36,005,037100,36005037100,2021
"Census Tract 372, Bronx County, New York",807,36,005,037200,36005037200,2021
"Census Tract 373, Bronx County, New York",2046,36,005,037300,36005037300,2021
"Census Tract 374, Bronx County, New York",1478,36,005,037400,36005037400,2021
"Census Tract 375.04, Bronx County, New York",1341,36,005,037504,36005037504,2021
"Census Tract 376, Bronx County, New York",792,36,005,037600,36005037600,2021
"Census Tract 378, Bronx County, New York",1130,36,005,037800,36005037800,2021
"Census Tract 379, Bronx County, New York",1780,36,005,037900,36005037900,2021
"Census Tract 380, Bronx County, New York",1935,36,005,038000,36005038000,2021
"Census Tract 381, Bronx County, New York",2638,36,005,038100,36005038100,2021
"Census Tract 382, Bronx County, New York",939,36,005,038200,36005038200,2021
"Census Tract 383.01, Bronx County, New York",1684,36,005,038301,36005038301,2021
"Census Tract 383.03, Bronx County, New York",1287,36,005,038303,36005038303,2021
"Census Tract 383.04, Bronx County, New York",769,36,005,038304,36005038304,2021
"Census Tract 385, Bronx County, New York",1665,36,005,038500,36005038500,2021
"Census Tract 386, Bronx County, New York",2886,36,005,038600,36005038600,2021
"Census Tract 387, Bronx County, New York",1375,36,005,038700,36005038700,2021
"Census Tract 388, Bronx County, New York",939,36,005,038800,36005038800,2021
"Census Tract 389, Bronx County, New York",1732,36,005,038900,36005038900,2021
"Census Tract 390, Bronx County, New York",1076,36,005,039000,36005039000,2021
"Census Tract 391, Bronx County, New York",2740,36,005,039100,36005039100,2021
"Census Tract 392, Bronx County, New York",658,36,005,039200,36005039200,2021
"Census Tract 393, Bronx County, New York",3023,36,005,039300,36005039300,2021
"Census Tract 394, Bronx County, New York",1692,36,005,039400,36005039400,2021
"Census Tract 395, Bronx County, New York",1690,36,005,039500,36005039500,2021
"Census Tract 396, Bronx County, New York",1450,36,005,039600,36005039600,2021
"Census Tract 397, Bronx County, New York",409,36,005,039700,36005039700,2021
"Census Tract 398, Bronx County, New York",1249,36,005,039800,36005039800,2021
"Census Tract 399.01, Bronx County, New York",1703,36,005,039901,36005039901,2021
"Census Tract 399.02, Bronx County, New York",1703,36,005,039902,36005039902,2021
"Census Tract 401, Bronx County, New York",2015,36,005,040100,36005040100,2021
"Census Tract 403.02, Bronx County, New York",1636,36,005,040302,36005040302,2021
"Census Tract 403.03, Bronx County, New York",1358,36,005,040303,36005040303,2021
"Census Tract 403.04, Bronx County, New York",1221,36,005,040304,36005040304,2021
"Census Tract 404, Bronx County, New York",1079,36,005,040400,36005040400,2021
"Census Tract 405.01, Bronx County, New York",1405,36,005,040501,36005040501,2021
"Census Tract 405.02, Bronx County, New York",2444,36,005,040502,36005040502,2021
"Census Tract 406, Bronx County, New York",1305,36,005,040600,36005040600,2021
"Census Tract 407.01, Bronx County, New York",1274,36,005,040701,36005040701,2021
