GEOID,NAME,source,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,n_low,n_mid,n_high,n_i_sum,year
36005004200,"Census Tract 42, Bronx, NY",censusreporter:acs2024_5yr,2839.0,173.0,287.0,48.0,99.0,132.0,191.0,36.0,81.0,201.0,283.0,175.0,467.0,161.0,278.0,112.0,115.0,607.0,641.0,1591.0,2839.0,2024
36005004300,"Census Tract 43, Bronx, NY",censusreporter:acs2024_5yr,2230.0,471.0,496.0,112.0,45.0,59.0,117.0,58.0,77.0,0.0,105.0,250.0,206.0,68.0,49.0,88.0,29.0,1124.0,311.0,795.0,2230.0,2024
36005004400,"Census Tract 44, Bronx, NY",censusreporter:acs2024_5yr,1539.0,325.0,238.0,108.0,114.0,34.0,81.0,52.0,48.0,93.0,46.0,19.0,96.0,88.0,30.0,53.0,114.0,785.0,308.0,446.0,1539.0,2024
36005004600,"Census Tract 46, Bronx, NY",censusreporter:acs2024_5yr,664.0,145.0,68.0,47.0,59.0,7.0,33.0,37.0,47.0,11.0,35.0,63.0,25.0,67.0,20.0,0.0,0.0,319.0,135.0,210.0,664.0,2024
36005004800,"Census Tract 48, Bronx, NY",censusreporter:acs2024_5yr,1498.0,305.0,44.0,76.0,124.0,142.0,42.0,55.0,13.0,127.0,89.0,55.0,177.0,128.0,101.0,20.0,0.0,549.0,379.0,570.0,1498.0,2024
36005005001,"Census Tract 50.01, Bronx, NY",censusreporter:acs2024_5yr,1406.0,188.0,127.0,80.0,109.0,107.0,121.0,51.0,46.0,80.0,72.0,109.0,122.0,97.0,28.0,42.0,27.0,504.0,405.0,497.0,1406.0,2024
36005005002,"Census Tract 50.02, Bronx, NY",censusreporter:acs2024_5yr,1880.0,207.0,203.0,115.0,140.0,197.0,87.0,120.0,0.0,72.0,86.0,210.0,264.0,38.0,31.0,0.0,110.0,665.0,476.0,739.0,1880.0,2024
36005005100,"Census Tract 51, Bronx, NY",censusreporter:acs2024_5yr,2930.0,556.0,264.0,131.0,448.0,295.0,109.0,125.0,340.0,0.0,0.0,186.0,81.0,98.0,0.0,239.0,58.0,1399.0,869.0,662.0,2930.0,2024
36005005200,"Census Tract 52, Bronx, NY",censusreporter:acs2024_5yr,813.0,128.0,72.0,43.0,80.0,21.0,32.0,34.0,8.0,73.0,127.0,63.0,95.0,37.0,0.0,0.0,0.0,323.0,168.0,322.0,813.0,2024
36005005300,"Census Tract 53, Bronx, NY",censusreporter:acs2024_5yr,1614.0,459.0,266.0,64.0,229.0,60.0,70.0,84.0,98.0,24.0,75.0,147.0,24.0,0.0,0.0,14.0,0.0,1018.0,336.0,260.0,1614.0,2024
36005005400,"Census Tract 54, Bronx, NY",censusreporter:acs2024_5yr,1756.0,129.0,129.0,100.0,12.0,128.0,57.0,128.0,77.0,59.0,94.0,304.0,142.0,144.0,82.0,108.0,63.0,370.0,449.0,937.0,1756.0,2024
36005005600,"Census Tract 56, Bronx, NY",censusreporter:acs2024_5yr,1006.0,43.0,136.0,133.0,71.0,32.0,55.0,0.0,49.0,50.0,68.0,51.0,90.0,38.0,51.0,49.0,90.0,383.0,186.0,437.0,1006.0,2024
36005005902,"Census Tract 59.02, Bronx, NY",censusreporter:acs2024_5yr,1288.0,60.0,167.0,32.0,70.0,0.0,132.0,64.0,56.0,45.0,51.0,69.0,236.0,61.0,0.0,127.0,118.0,329.0,297.0,662.0,1288.0,2024
36005006000,"Census Tract 60, Bronx, NY",censusreporter:acs2024_5yr,386.0,35.0,43.0,5.0,0.0,7.0,17.0,8.0,11.0,0.0,50.0,9.0,118.0,40.0,20.0,9.0,14.0,83.0,43.0,260.0,386.0,2024
36005006100,"Census Tract 61, Bronx, NY",censusreporter:acs2024_5yr,1875.0,143.0,26.0,79.0,150.0,56.0,16.0,32.0,3.0,76.0,89.0,280.0,541.0,219.0,94.0,60.0,11.0,398.0,183.0,1294.0,1875.0,2024
36005006200,"Census Tract 62, Bronx, NY",censusreporter:acs2024_5yr,2544.0,498.0,295.0,69.0,201.0,335.0,71.0,66.0,17.0,257.0,126.0,234.0,194.0,0.0,170.0,0.0,11.0,1063.0,746.0,735.0,2544.0,2024
36005006301,"Census Tract 63.01, Bronx, NY",censusreporter:acs2024_5yr,3045.0,434.0,178.0,336.0,24.0,11.0,28.0,0.0,53.0,281.0,180.0,359.0,203.0,146.0,59.0,155.0,598.0,972.0,373.0,1700.0,3045.0,2024
