NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 386, Bronx County, New York",2886,246,166,12,148,296,137,179,56,143,170,248,332,460,77,160,56,36,005,038600,36005038600,2021,572,811,1503,2886
"Census Tract 387, Bronx County, New York",1375,198,87,29,55,75,135,128,86,80,257,103,74,42,16,0,10,36,005,038700,36005038700,2021,369,504,502,1375
"Census Tract 388, Bronx County, New York",939,99,20,0,86,49,9,37,59,0,76,58,220,90,60,18,58,36,005,038800,36005038800,2021,205,154,580,939
"Census Tract 389, Bronx County, New York",1732,278,322,56,55,64,44,95,63,51,249,138,137,118,53,0,9,36,005,038900,36005038900,2021,711,317,704,1732
"Census Tract 390, Bronx County, New York",1076,80,27,28,17,33,33,117,110,30,129,40,103,125,147,52,5,36,005,039000,36005039000,2021,152,323,601,1076
"Census Tract 391, Bronx County, New York",2740,204,658,166,192,173,168,19,0,95,211,258,308,83,0,142,63,36,005,039100,36005039100,2021,1220,455,1065,2740
"Census Tract 392, Bronx County, New York",658,24,13,51,8,25,61,34,49,0,112,83,56,15,19,32,76,36,005,039200,36005039200,2021,96,169,393,658
"Census Tract 393, Bronx County, New York",3023,543,510,278,198,155,32,160,166,23,137,238,337,128,53,44,21,36,005,039300,36005039300,2021,1529,536,958,3023
"Census Tract 394, Bronx County, New York",1692,247,100,36,177,99,89,12,32,38,165,188,201,114,103,54,37,36,005,039400,36005039400,2021,560,270,862,1692
"Census Tract 395, Bronx County, New York",1690,425,266,69,78,94,32,34,123,17,84,110,176,92,44,12,34,36,005,039500,36005039500,2021,838,300,552,1690
"Census Tract 396, Bronx County, New York",1450,135,146,148,44,52,75,153,56,113,69,120,85,67,68,67,52,36,005,039600,36005039600,2021,473,449,528,1450
"Census Tract 397, Bronx County, New York",409,66,65,39,27,18,18,15,40,17,32,15,39,18,0,0,0,36,005,039700,36005039700,2021,197,108,104,409
