NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 1; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,000100,36005000100,2023,0,0,0,0
Census Tract 2; Bronx County; New York,1446,40,19,0,75,89,38,0,17,0,58,74,200,233,206,142,255,36,005,000200,36005000200,2023,134,144,1168,1446
Census Tract 4; Bronx County; New York,2246,80,104,83,0,0,0,13,33,75,265,356,159,185,140,502,251,36,005,000400,36005000400,2023,267,121,1858,2246
Census Tract 16; Bronx County; New York,2149,222,203,95,193,87,24,196,88,60,211,226,152,160,77,32,123,36,005,001600,36005001600,2023,713,455,981,2149
Census Tract 19.01; Bronx County; New York,1092,97,57,22,76,17,93,40,20,38,69,60,174,126,49,43,111,36,005,001901,36005001901,2023,252,208,632,1092
Census Tract 19.02; Bronx County; New York,566,76,18,3,39,0,18,0,44,0,17,52,32,92,0,147,28,36,005,001902,36005001902,2023,136,62,368,566
Census Tract 19.03; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001903,36005001903,2023,0,0,0,0
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2023,0,0,0,0
Census Tract 20.01; Bronx County; New York,1726,361,340,118,130,221,0,124,72,0,0,154,78,50,78,0,0,36,005,002001,36005002001,2023,949,417,360,1726
Census Tract 20.02; Bronx County; New York,1832,199,670,222,95,0,0,0,74,0,79,31,190,80,73,0,119,36,005,002002,36005002002,2023,1186,74,572,1832
Census Tract 23; Bronx County; New York,1917,603,311,71,109,82,77,149,19,89,121,80,54,108,0,23,21,36,005,002300,36005002300,2023,1094,416,407,1917
Census Tract 24; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,002400,36005002400,2023,0,0,0,0
Census Tract 25; Bronx County; New York,1903,308,297,88,119,161,25,174,46,76,120,192,100,86,0,111,0,36,005,002500,36005002500,2023,812,482,609,1903
Census Tract 27.01; Bronx County; New York,1167,266,233,116,126,23,86,126,0,51,25,47,20,33,15,0,0,36,005,002701,36005002701,2023,741,286,140,1167
Census Tract 27.02; Bronx County; New York,1508,334,207,73,56,52,158,61,79,42,156,0,42,75,119,14,40,36,005,002702,36005002702,2023,670,392,446,1508
Census Tract 28; Bronx County; New York,2717,72,22,58,166,43,141,197,182,229,116,255,658,170,152,110,146,36,005,002800,36005002800,2023,318,792,1607,2717
Census Tract 31; Bronx County; New York,1104,63,0,49,28,115,51,188,89,26,23,172,109,80,29,82,0,36,005,003100,36005003100,2023,140,469,495,1104
Census Tract 33; Bronx County; New York,1225,276,199,38,0,72,20,41,111,34,14,53,69,102,40,66,90,36,005,003300,36005003300,2023,513,278,434,1225
Census Tract 35; Bronx County; New York,1483,177,136,55,83,60,283,47,25,35,193,57,52,56,36,109,79,36,005,003500,36005003500,2023,451,450,582,1483
Census Tract 37; Bronx County; New York,158,69,0,0,0,0,0,0,34,8,47,0,0,0,0,0,0,36,005,003700,36005003700,2023,69,42,47,158
Census Tract 38; Bronx County; New York,377,52,13,9,34,6,43,11,31,0,18,19,58,31,25,20,7,36,005,003800,36005003800,2023,108,91,178,377
Census Tract 39; Bronx County; New York,2299,165,659,237,28,150,86,0,86,0,206,87,17,121,303,43,111,36,005,003900,36005003900,2023,1089,322,888,2299
Census Tract 40.01; Bronx County; New York,507,13,0,0,26,22,0,32,15,8,18,109,73,47,46,24,74,36,005,004001,36005004001,2023,39,77,391,507
Census Tract 41; Bronx County; New York,2359,296,423,371,211,104,21,0,153,230,59,99,89,97,103,0,103,36,005,004100,36005004100,2023,1301,508,550,2359
Census Tract 42; Bronx County; New York,2837,177,318,71,205,230,140,52,88,76,278,173,376,129,295,205,24,36,005,004200,36005004200,2023,771,586,1480,2837
Census Tract 43; Bronx County; New York,2099,420,335,189,72,38,50,129,71,39,117,198,246,63,0,86,46,36,005,004300,36005004300,2023,1016,327,756,2099
Census Tract 44; Bronx County; New York,1578,400,186,177,129,66,60,77,99,32,26,33,72,104,13,40,64,36,005,004400,36005004400,2023,892,334,352,1578
Census Tract 46; Bronx County; New York,658,116,136,49,57,21,33,32,18,6,32,38,31,17,58,14,0,36,005,004600,36005004600,2023,358,110,190,658
Census Tract 48; Bronx County; New York,1504,285,95,70,151,53,0,94,0,159,116,33,207,177,2,41,21,36,005,004800,36005004800,2023,601,306,597,1504
Census Tract 50.01; Bronx County; New York,1343,212,92,132,99,65,69,96,42,73,93,150,82,37,38,63,0,36,005,005001,36005005001,2023,535,345,463,1343
Census Tract 50.02; Bronx County; New York,1888,198,186,133,152,129,117,82,12,77,129,249,196,114,15,0,99,36,005,005002,36005005002,2023,669,417,802,1888
Census Tract 51; Bronx County; New York,2621,320,234,324,402,267,168,116,152,107,0,227,184,37,0,83,0,36,005,005100,36005005100,2023,1280,810,531,2621
Census Tract 52; Bronx County; New York,788,113,80,53,84,36,27,17,29,55,107,85,72,14,0,11,5,36,005,005200,36005005200,2023,330,164,294,788
Census Tract 53; Bronx County; New York,1595,296,189,177,199,166,178,46,48,39,19,212,12,0,0,14,0,36,005,005300,36005005300,2023,861,477,257,1595
Census Tract 54; Bronx County; New York,1702,222,107,70,13,32,70,69,60,64,157,257,300,54,83,79,65,36,005,005400,36005005400,2023,412,295,995,1702
Census Tract 56; Bronx County; New York,1025,87,163,53,52,34,45,29,47,49,97,59,72,31,52,33,122,36,005,005600,36005005600,2023,355,204,466,1025
Census Tract 59.02; Bronx County; New York,1286,51,136,72,54,111,0,139,45,46,74,69,276,50,7,61,95,36,005,005902,36005005902,2023,313,341,632,1286
Census Tract 60; Bronx County; New York,385,36,37,8,5,8,44,0,20,23,33,18,74,37,12,16,14,36,005,006000,36005006000,2023,86,95,204,385
Census Tract 61; Bronx County; New York,1940,135,54,50,190,35,13,48,23,45,118,250,666,77,79,107,50,36,005,006100,36005006100,2023,429,164,1347,1940
Census Tract 62; Bronx County; New York,2489,518,176,124,186,284,65,75,139,185,158,235,118,0,214,0,12,36,005,006200,36005006200,2023,1004,748,737,2489
Census Tract 63.01; Bronx County; New York,2584,280,99,229,24,178,63,155,0,198,133,415,130,46,209,107,318,36,005,006301,36005006301,2023,632,594,1358,2584
Census Tract 63.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,006302,36005006302,2023,0,0,0,0
Census Tract 64; Bronx County; New York,1407,316,99,12,163,28,12,57,176,62,115,70,124,58,40,32,43,36,005,006400,36005006400,2023,590,335,482,1407
Census Tract 65; Bronx County; New York,2153,487,225,258,145,113,140,13,185,108,0,134,121,64,99,44,17,36,005,006500,36005006500,2023,1115,559,479,2153
Census Tract 67; Bronx County; New York,2595,402,310,576,120,0,88,325,0,117,57,264,35,121,0,180,0,36,005,006700,36005006700,2023,1408,530,657,2595
Census Tract 68; Bronx County; New York,917,116,18,75,56,127,95,145,50,0,49,9,106,33,0,18,20,36,005,006800,36005006800,2023,265,417,235,917
