NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
Census Tract 19.04; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,001904,36005001904,2024,0,0,0,0
Census Tract 83; Bronx County; New York,2213,297,242,29,153,124,0,41,128,169,230,115,132,201,111,53,188,36,005,008300,36005008300,2024,721,462,1030,2213
Census Tract 85; Bronx County; New York,2189,171,229,200,99,175,58,106,92,93,51,165,297,233,103,42,75,36,005,008500,36005008500,2024,699,524,966,2189
Census Tract 87; Bronx County; New York,2091,262,157,216,177,82,45,94,250,176,36,248,141,30,33,123,21,36,005,008700,36005008700,2024,812,647,632,2091
Census Tract 89; Bronx County; New York,1346,93,248,28,161,33,76,115,125,146,18,169,84,15,0,0,35,36,005,008900,36005008900,2024,530,495,321,1346
Census Tract 93.01; Bronx County; New York,1912,281,48,67,84,43,83,83,109,153,233,38,213,89,23,303,62,36,005,009301,36005009301,2024,480,471,961,1912
Census Tract 93.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,009302,36005009302,2024,0,0,0,0
Census Tract 115.02; Bronx County; New York,1513,160,85,181,161,147,121,56,54,78,155,42,102,0,144,7,20,36,005,011502,36005011502,2024,587,456,470,1513
Census Tract 117.01; Bronx County; New York,474,90,10,17,49,0,19,70,68,22,45,16,37,0,10,21,0,36,005,011701,36005011701,2024,166,179,129,474
Census Tract 117.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702,36005011702,2024,0,0,0,0
Census Tract 119; Bronx County; New York,1875,206,110,155,112,70,130,106,65,17,56,265,113,107,55,285,23,36,005,011900,36005011900,2024,583,388,904,1875
Census Tract 121.02; Bronx County; New York,572,85,142,0,45,50,45,0,0,58,20,42,18,26,0,40,1,36,005,012102,36005012102,2024,272,153,147,572
Census Tract 127.01; Bronx County; New York,745,56,83,58,64,66,52,45,0,16,34,77,66,28,63,37,0,36,005,012701,36005012701,2024,261,179,305,745
Census Tract 129.01; Bronx County; New York,1744,224,285,122,189,0,10,55,178,34,67,221,171,179,9,0,0,36,005,012901,36005012901,2024,820,277,647,1744
Census Tract 131; Bronx County; New York,2225,463,302,378,134,0,31,43,183,101,18,126,154,82,121,52,37,36,005,013100,36005013100,2024,1277,358,590,2225
Census Tract 159; Bronx County; New York,1023,86,123,200,66,133,11,9,45,8,44,45,109,84,35,0,25,36,005,015900,36005015900,2024,475,206,342,1023
