source,store_id,store_name,address_query,addr_number,addr_street,addr_zip,latitude,longitude,bbl,bbl_method,bbl_label,bin,Tax_j,dof_taxyear,dof_annualized,pluto_assesstot,pluto_assessland,pluto_ownername,pluto_bldgclass,pluto_ok,dof_ok,assessment_ok,assessment_year,acris_lease_hit,acris_n_lease_docs,acris_lease_doc_type,Rent_j_acris,rent_sqft,Rent_j_low,Rent_j_mid,Rent_j_high,Rent_j,rent_method
dohmh,50039510,KETSIE GROCERY,"865 E 149 ST, Bronx, NY 10455",865,EAST  149 STREET,10455,40.811696432023,-73.903642838064,2026030051,geosearch,"865 EAST 149 STREET, Bronx, NY, USA",2096003,152969.92,2027,True,399600.0,133200.0,M.T.S. REALTY CORP,K1,True,True,False,,False,0.0,,,,,,,,none
dohmh,41453811,THE POINT CAFE & GRILL,"402 HUNTS POINT AVE, Bronx, NY 10474",402,HUNTS POINT AVENUE,10474,40.809594391488,-73.880717843612,2027720270,geosearch,"402 HUNTS POINT AVENUE, Bronx, NY, USA",2114610,49733.76,2027,False,245250.0,39600.0,HUNTS POINT REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
dohmh,40674404,MARKET RESTAURANT (C-D BLOCK),"355 FOOD CENTER DR, Bronx, NY 10474",355,FOOD CENTER DRIVE,10474,40.807608187248,-73.871463051581,2027810460,geosearch,"355 FOOD CENTER DRIVE, Bronx, NY, USA",2109483,13162821.6,2025,True,36454500.0,9563400.0,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,E9,True,True,False,,False,0.0,,,,,,,,none
dohmh,40693095,SNACK BAR (LOCATED BETWEEN A-B BETWEEN FANCY FOOD AND MASTERS),"355 FOOD CENTER DR, Bronx, NY 10474",355,FOOD CENTER DRIVE,10474,40.807608187248,-73.871463051581,2027810460,geosearch,"355 FOOD CENTER DRIVE, Bronx, NY, USA",2109483,13162821.6,2025,True,36454500.0,9563400.0,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,E9,True,True,False,,False,0.0,,,,,,,,none
dohmh,50016091,SUBWAY,"1047 E 163 ST, Bronx, NY 10459",1047,EAST  163 STREET,10459,40.820995359134,-73.891055927873,2027420003,geosearch,"1047 EAST 163 STREET, Bronx, NY, USA",2094367,2970772.64,2027,True,7030800.0,2250000.0,940 SOUTHERN BOULEVA,K1,True,True,False,,False,0.0,,,,,,,,none
dohmh,50011380,SOUTHSIDE CAFE (Produce Market),"300C HUNTS POINT TERMINAL MARKET, Bronx, NY 10474",300C,HUNTS POINT TERMINAL MARKET,10474,40.810354737405,-73.87815162537,2027700001,geosearch,"300 HUNTS POINT TERMINAL MARKET, Bronx, NY, USA",2109490,,,,44060400.0,13384800.0,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,Z9,True,False,False,,False,0.0,,,,,,,,none
dohmh,50133152,FOOD BO GARDEN,"934C E 163 ST, Bronx, NY 10459",934C,EAST  163 STREET,10459,40.820981252654,-73.896580294601,2027030014,geosearch,"934 EAST 163 STREET, Bronx, NY, USA",2005452,953449.44,2027,True,479700.0,38250.0,"ETROG PROPERTIES, LLC",C7,True,True,False,,False,0.0,,,,,,,,none
dohmh,41238905,LA SALLE GROCERY,"1232 RANDALL AVE, Bronx, NY 10474",1232,RANDALL AVENUE,10474,40.811738053598,-73.888943353596,2027680196,geosearch,"1232 RANDALL AVENUE, Bronx, NY, USA",2006791,17964.32,2027,False,82800.0,30150.0,BRUSCA JENNIE,E1,True,True,False,,False,0.0,,,,,,,,none
dohmh,50167466,JMC FRESH FOODS CORP,"1000 WESTCHESTER AVE, Bronx, NY 10459",1000,WESTCHESTER AVENUE,10459,40.823685024131,-73.893790306115,2027247503,geosearch,"1000 WESTCHESTER AVENUE, Bronx, NY, USA",2130624,,,,13018952.0,391501.0,1000 WESTCHESTER AVENUE LLC,RC,True,False,False,,False,,,,,,,,,none
